Node,"Local Authority","EV strategy","Fleet Engagement","Fleet Resources",Email,"Percentage Yes","Percentage No","Percentage in draft","Clear engagement","No evidence of engagement","Some/limited engagement","Clear contact and no support materials/process","Clear contact and support materials/process","No clear contact and no support materials/process","No clear contact and support materials/process"
"North East Fife",Fife,"In draft","Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",jane.findlay@fife.gov.uk,37,31,32,3,40,57,17,21,33,29
Henley,Oxfordshire,Yes,"Substantial evidence of engagement and consideration of fleet","Clear contact and support materials/process",evteam@oxfordshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Wyre Forest",Worcestershire,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Stratford-on-Avon,Warwickshire,Yes,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",tpu@warwickshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Bermondsey and Old Southwark",Southwark,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Macclesfield,"Cheshire East","In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",richard.hibbert@cheshireeast.gov.uk.,37,31,32,3,40,57,17,21,33,29
"Bristol South","Bristol City of",No,"Substantial evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Warwick and Leamington",Warwickshire,Yes,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",tpu@warwickshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"South Leicestershire",Leicestershire,No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Westmorland and Lonsdale",Cumbria,No,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Vale of Clwyd",Denbighshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Kilmarnock and Loudoun","East Ayrshire",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",Lewis.brown@ayershireroadalliance.org,37,31,32,3,40,57,17,21,33,29
Arfon,Gwynedd,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"St Albans",Hertfordshire,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Glasgow Central","Glasgow City",Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",EVCharging@glasgow.gov.uk,37,31,32,3,40,57,17,21,33,29
Lichfield,Staffordshire,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",marc.stanway@staffordshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Amber Valley",Derbyshire,Yes,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",Daniel.McCrory@derbyshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"North Cornwall",Cornwall,"In draft","Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",driveev2@cornwall.gov.uk,37,31,32,3,40,57,17,21,33,29
Charnwood,Leicestershire,No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Hammersmith,"Hammersmith and Fulham","In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Mohammed.Chibou@lbhf.gov.uk,37,31,32,3,40,57,17,21,33,29
"Enfield, Southgate",Enfield,No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Linlithgow and East Falkirk","West Lothian","In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Telford,"Telford and Wrekin",Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Coventry North East",Coventry,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",shamala.evans-gadgil@coventry.gov.uk,37,31,32,3,40,57,17,21,33,29
"Dundee East","Dundee City",No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Clwyd South",Wrexham,"In draft","Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Liverpool, West Derby",Liverpool,No,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",Stephen.rimmer@liverpool.gov.uk,37,31,32,3,40,57,17,21,33,29
Kensington,"Kensington and Chelsea",No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Rochester and Strood",Medway,"In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Wrexham,Wrexham,"In draft","Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"New Forest West",Hampshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Worthing West","West Sussex",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",EVchargepoints@westsussex.gov.uk,37,31,32,3,40,57,17,21,33,29
Bedford,Bedford,"In draft","Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Wigan,Wigan,No,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",j.middlehurst@wigan.gov.uk,37,31,32,3,40,57,17,21,33,29
"North East Bedfordshire",Bedford,"In draft","Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Tatton,"Cheshire East","In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",richard.hibbert@cheshireeast.gov.uk.,37,31,32,3,40,57,17,21,33,29
"Edinburgh East","City of Edinburgh",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",electricvehicles@edinburgh.gov.uk,37,31,32,3,40,57,17,21,33,29
"Reading East",Reading,"In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Great Yarmouth",Norfolk,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Erewash,Derbyshire,Yes,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",Daniel.McCrory@derbyshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Newcastle upon Tyne East","Newcastle upon Tyne",Yes,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Eltham,Greenwich,Yes,"Basic evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"South Shields","South Tyneside","In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"South Derbyshire",Derbyshire,Yes,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",Daniel.McCrory@derbyshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"North Wiltshire",Wiltshire,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact but no support materials/process",adam.stephens@wiltshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Cardiff South and Penarth",Cardiff,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Wythenshawe and Sale East",Manchester,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Glasgow North East","Glasgow City",Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",EVCharging@glasgow.gov.uk,37,31,32,3,40,57,17,21,33,29
"North Norfolk",Norfolk,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Norwich South",Norfolk,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Wyre and Preston North",Lancashire,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Wimbledon,Merton,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Hampstead and Kilburn",Brent,"In draft","Basic evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Brigg and Goole","North Lincolnshire","In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"North Somerset","North Somerset","In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Cristian.fletcher@n-somerset.gov.uk,37,31,32,3,40,57,17,21,33,29
"South East Cornwall",Cornwall,"In draft","Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",driveev2@cornwall.gov.uk,37,31,32,3,40,57,17,21,33,29
"Oldham West and Royton",Oldham,Yes,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",eleanor.sykes@oldham.gov.uk,37,31,32,3,40,57,17,21,33,29
"Edinburgh South West","City of Edinburgh",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",electricvehicles@edinburgh.gov.uk,37,31,32,3,40,57,17,21,33,29
Montgomeryshire,Powys,"In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Christchurch,"Bournemouth Christchurch and Poole",No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process","john.mcvey@bcpcouncil.gov.uk and Francesca.powell@bcpcouncil.gov.uk",37,31,32,3,40,57,17,21,33,29
Barking,"Barking and Dagenham",Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Leeds North East",Leeds,Yes,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Ribble Valley",Lancashire,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Swansea East",Swansea,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",ZeroEmissionTransport@swansea.gov.uk,37,31,32,3,40,57,17,21,33,29
Cambridge,Cambridgeshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Sedgefield,Darlington,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Birmingham, Selly Oak",Birmingham,Yes,"Substantial evidence of engagement and consideration of fleet","Clear contact and support materials/process",sylvia.broadley@birmingham.gov.uk,37,31,32,3,40,57,17,21,33,29
Burton,Staffordshire,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",marc.stanway@staffordshire.gov.uk,37,31,32,3,40,57,17,21,33,29
Twickenham,"Richmond upon Thames",Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Runnymede and Weybridge",Surrey,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",jonathan.james@surrey.gov.uk,37,31,32,3,40,57,17,21,33,29
Pendle,Lancashire,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Caerphilly,Caerphilly,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Cannock Chase",Staffordshire,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",marc.stanway@staffordshire.gov.uk,37,31,32,3,40,57,17,21,33,29
Middlesbrough,Middlesbrough,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"West Dunbartonshire","West Dunbartonshire",No,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",derek.barr@west-dunbarton.gov.uk,37,31,32,3,40,57,17,21,33,29
"Bradford West",Bradford,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",eccu@bradford.gov.uk,37,31,32,3,40,57,17,21,33,29
"North East Somerset","Bath and North East Somerset",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",alex_rowbotham@bathnes.gov.uk,37,31,32,3,40,57,17,21,33,29
Livingston,"West Lothian","In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Dover,Kent,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",tim.middleton@kent.gov.uk,37,31,32,3,40,57,17,21,33,29
"Haltemprice and Howden","East Riding of Yorkshire",Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Leicester South",Leicester,"In draft","Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Dewsbury,Kirklees,No,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",Electric.Vehicles@kirklees.gov.uk,37,31,32,3,40,57,17,21,33,29
"Calder Valley",Calderdale,No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Aberconwy,Conwy,No,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"South Swindon",Swindon,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Suffolk Coastal",Suffolk,No,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",creatinggreenestcounty@suffolk.gov.uk,37,31,32,3,40,57,17,21,33,29
"Wolverhampton South East",Wolverhampton,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",kester.sleeman@blackcountrytransport.org.uk,37,31,32,3,40,57,17,21,33,29
"Romsey and Southampton North",Hampshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Wakefield,Wakefield,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Middlesbrough South and East Cleveland","Redcar and Cleveland","In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"South West Wiltshire",Wiltshire,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact but no support materials/process",adam.stephens@wiltshire.gov.uk,37,31,32,3,40,57,17,21,33,29
Dartford,Kent,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",tim.middleton@kent.gov.uk,37,31,32,3,40,57,17,21,33,29
"North Ayrshire and Arran","North Ayrshire",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",fionachan@north-ayershire.gov.uk,37,31,32,3,40,57,17,21,33,29
Stourbridge,Dudley,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Rutherglen and Hamilton West","South Lanarkshire",No,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Banff and Buchan",Aberdeenshire,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",fleet@aberdeenshire.gov.uk,37,31,32,3,40,57,17,21,33,29
Bridgend,Bridgend,No,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",Janine.Nightingale@bridgend.gov.uk,37,31,32,3,40,57,17,21,33,29
Witney,Oxfordshire,Yes,"Substantial evidence of engagement and consideration of fleet","Clear contact and support materials/process",evteam@oxfordshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Nottingham North",Nottingham,No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Skipton and Ripon","North Yorkshire","In draft","Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",ltp@northyorks.gov.uk,37,31,32,3,40,57,17,21,33,29
Fareham,Hampshire,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Buckingham,Buckinghamshire,Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",evcharging@buckinghamshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Oxford West and Abingdon",Oxfordshire,Yes,"Substantial evidence of engagement and consideration of fleet","Clear contact and support materials/process",evteam@oxfordshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Chingford and Woodford Green",Redbridge,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",hulya.ataoglu@redbridge.gov.uk,37,31,32,3,40,57,17,21,33,29
"Birmingham, Hodge Hill",Birmingham,Yes,"Substantial evidence of engagement and consideration of fleet","Clear contact and support materials/process",sylvia.broadley@birmingham.gov.uk,37,31,32,3,40,57,17,21,33,29
Redcar,"Redcar and Cleveland","In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Dundee West","Dundee City",No,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Ealing Central and Acton",Ealing,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Cheltenham,Gloucestershire,Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",electricvehicles@gloucestershire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Worsley and Eccles South",Salford,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Gillingham and Rainham",Medway,"In draft","Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Copeland,Cumbria,No,"Basic evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Wirral South",Wirral,No,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",damian.garner@wirral.gov.uk,37,31,32,3,40,57,17,21,33,29
"Dunfermline and West Fife",Fife,"In draft","Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",jane.findlay@fife.gov.uk,37,31,32,3,40,57,17,21,33,29
"Alyn and Deeside",Flintshire,No,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Berwickshire, Roxburgh and Selkirk","Scottish Borders","In draft","Basic evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Tewkesbury,Gloucestershire,Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",electricvehicles@gloucestershire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Leyton and Wanstead",Redbridge,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",hulya.ataoglu@redbridge.gov.uk,37,31,32,3,40,57,17,21,33,29
Delyn,Flintshire,No,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Stoke-on-Trent Central",Stoke-on-Trent,No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Orkney and Shetland","Shetland Islands","In draft","No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",john.simpson@shetland.gov.uk,37,31,32,3,40,57,17,21,33,29
"Morecambe and Lunesdale",Lancashire,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Bournemouth East","Bournemouth Christchurch and Poole",No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process","john.mcvey@bcpcouncil.gov.uk and Francesca.powell@bcpcouncil.gov.uk",37,31,32,3,40,57,17,21,33,29
"Stoke-on-Trent North",Stoke-on-Trent,No,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Epping Forest",Essex,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Katie.pudney@essex.gov.uk,37,31,32,3,40,57,17,21,33,29
Windsor,"Windsor and Maidenhead","In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Ipswich,Suffolk,No,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",creatinggreenestcounty@suffolk.gov.uk,37,31,32,3,40,57,17,21,33,29
"Ilford South",Redbridge,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",hulya.ataoglu@redbridge.gov.uk,37,31,32,3,40,57,17,21,33,29
"Somerton and Frome",Somerset,Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",climateemergency@somerset.gov.uk,37,31,32,3,40,57,17,21,33,29
"Garston and Halewood",Liverpool,No,"No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",Stephen.rimmer@liverpool.gov.uk,37,31,32,3,40,57,17,21,33,29
"Central Devon",Devon,Yes,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Portsmouth North",Portsmouth,No,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Damon.Leung@portsmouthcc.gov.uk,37,31,32,3,40,57,17,21,33,29
"Southampton, Itchen",Southampton,"In draft","No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",electric.vehicles@southampton.gov.uk,37,31,32,3,40,57,17,21,33,29
Maidenhead,"Windsor and Maidenhead","In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"West Tyrone","Fermanagh and Omagh",No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Wantage,Oxfordshire,Yes,"Substantial evidence of engagement and consideration of fleet","Clear contact and support materials/process",evteam@oxfordshire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Kingston upon Hull West and Hessle","East Riding of Yorkshire",Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Sherwood,Nottinghamshire,"In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Horsham,"West Sussex",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",EVchargepoints@westsussex.gov.uk,37,31,32,3,40,57,17,21,33,29
"Birmingham, Ladywood",Birmingham,Yes,"Substantial evidence of engagement and consideration of fleet","Clear contact and support materials/process",sylvia.broadley@birmingham.gov.uk,37,31,32,3,40,57,17,21,33,29
Stroud,Gloucestershire,Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",electricvehicles@gloucestershire.gov.uk,37,31,32,3,40,57,17,21,33,29
"Milton Keynes South","Milton Keynes","In draft","No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Chipping Barnet",Barnet,"In draft","No evidence of engagement or consideration of fleet","Clear contact and support materials/process",EVCharging@barnet.gov.uk,37,31,32,3,40,57,17,21,33,29
"Warrington South",Warrington,Yes,"Limited evidence of engagement and consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Birmingham, Erdington",Birmingham,Yes,"Substantial evidence of engagement and consideration of fleet","Clear contact and support materials/process",sylvia.broadley@birmingham.gov.uk,37,31,32,3,40,57,17,21,33,29
"Airdrie and Shotts","North Lanarkshire","In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Keighley,Bradford,No,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",eccu@bradford.gov.uk,37,31,32,3,40,57,17,21,33,29
Weston-Super-Mare,"North Somerset","In draft","Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",Cristian.fletcher@n-somerset.gov.uk,37,31,32,3,40,57,17,21,33,29
"South Holland and The Deepings",Lincolnshire,Yes,"Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Selby and Ainsty","North Yorkshire","In draft","Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",ltp@northyorks.gov.uk,37,31,32,3,40,57,17,21,33,29
"Lanark and Hamilton East","South Lanarkshire",No,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Esher and Walton",Surrey,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",jonathan.james@surrey.gov.uk,37,31,32,3,40,57,17,21,33,29
"Ilford North",Redbridge,"In draft","Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",hulya.ataoglu@redbridge.gov.uk,37,31,32,3,40,57,17,21,33,29
"Stockton North",Stockton-on-Tees,No,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Wokingham,Wokingham,"In draft","No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Oldham East and Saddleworth",Oldham,Yes,"No evidence of engagement or consideration of fleet","Clear contact and support materials/process",eleanor.sykes@oldham.gov.uk,37,31,32,3,40,57,17,21,33,29
"Taunton Deane",Somerset,Yes,"Limited evidence of engagement and consideration of fleet","Clear contact and support materials/process",climateemergency@somerset.gov.uk,37,31,32,3,40,57,17,21,33,29
"Belfast East",Belfast,"In draft","Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Tottenham,Haringey,Yes,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
Woking,Surrey,Yes,"Basic evidence of engagement and consideration of fleet","Clear contact and support materials/process",jonathan.james@surrey.gov.uk,37,31,32,3,40,57,17,21,33,29
"Belfast West",Belfast,"In draft","Limited evidence of engagement and consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
"Sutton Coldfield",Birmingham,Yes,"Substantial evidence of engagement and consideration of fleet","Clear contact and support materials/process",sylvia.broadley@birmingham.gov.uk,37,31,32,3,40,57,17,21,33,29
"Mid Bedfordshire","Central Bedfordshire",Yes,"No evidence of engagement or consideration of fleet","No clear contact or support materials/process","No clear contact",37,31,32,3,40,57,17,21,33,29
"Weaver Vale",Halton,No,"No evidence of engagement or consideration of fleet","Support materials/process but no clear contact","No clear contact",37,31,32,3,40,57,17,21,33,29
Easington,"County Durham",Yes,"Limited evidence of engagement and consideration of fleet","Clear contact but no support materials/process",tracy.millmore@durham.gov.uk,37,31,32,3,40,57,17,21,33,29
"Dumfries and Galloway","Dumfries and Galloway","In draft","No evidence of engagement or consideration of fleet","Clear contact but no support materials/process",gordon.bryce@dumgal.gov.uk,37,31,32,3,40,57,17,21,33,29
