Node,"Number Of Schools","L1 And L2 (Number Of Places Delivered 2020/21)","L3 (Number Of Places Delivered 2020/21 )","Plus (Number Of Places Delivered 2020/21)","Average L1 And L2 Places Per School"
WF7,0,7.3,14,102,0
WF8,15,,,,0
WF9,0,1.9,15,28,0
WF10,18,47,0,0,2.6
WF11,,0,6,,
WF12,22,97,0,40,4.4
WF13,21,2.5,17,42,0
WF14,9,136,0,0,15.1
WF15,89,8.5,12,102,0
WF16,7,28,0,67,4
WF17,141,5.9,34,200,0
WN1,10,20,0,0,2
WN2,0,0.7,33,22,0
WN3,14,40,0,0,2.9
WN4,0,0.6,18,10,0
WN5,16,,,,0
WN6,0,3.3,21,70,0
WN7,22,26,0,0,1.2
WN8,0,3.3,37,121,0
WR1,4,0,0,0,0
WR2,0,8.6,14,120,0
WR3,12,98,0,0,8.2
WR4,0,0,7,0,0
WR5,17,53,0,0,3.1
WR6,0,2.6,10,26,0
WR7,5,0,0,0,0
WR8,0,9,7,63,0
WR9,16,25,0,0,1.6
WR10,0,1.8,15,27,0
WR11,28,66,0,0,2.4
WR12,0,4.5,6,27,0
WR13,9,0,0,0,0
WR14,0,2.8,19,53,0
WR15,4,18,0,0,4.5
WS1,,0,15,,
WS2,19,,,,0
WS3,30,0.5,23,12,0
WS4,8,20,0,0,2.5
WS5,,0,7,,
WS6,7,,,,0
WS7,0,18.9,14,264,0
WS8,7,,,,0
WS9,0,6.1,14,86,0
WS10,24,49,0,30,2
WS11,63,16.8,25,421,24
WS12,19,584,24,24,30.7
WS13,43,20.9,24,501,60
WS14,11,86,0,0,7.8
WS15,24,8.9,23,204,24
WV1,7,,,,0
WV2,,0,5,,
WV3,11,,,,0
WV4,,0,17,,
WV5,9,57,0,0,6.3
WV6,60,5.2,23,120,60
WV7,3,,,,0
WV8,18,8,10,80,18
WV9,2,,,,0
WV10,,0,22,,
WV11,14,,,,0
WV12,,0,10,,
WV13,5,,,,0
WV14,0,0,22,0,0
WV15,2,,,,0
WV16,0,2.5,11,27,0
YO7,17,14,0,0,0.8
YO8,0,1.8,26,48,0
YO10,11,49,0,0,4.5
YO11,0,0,13,0,0
YO12,17,85,14,0,5
YO13,,0,5,,
YO14,4,0,0,0,0
YO15,,0,4,,
YO16,10,0,0,0,0
YO17,0,0.6,18,10,0
YO18,8,58,0,0,7.3
YO19,,0,3,,
YO21,10,0,0,0,0
YO22,,0,7,,
YO23,12,142,56,0,11.8
YO24,0,0,9,0,0
YO25,18,0,0,0,0
YO26,0,5.1,15,76,0
YO30,11,71,7,0,6.5
YO31,0,3,11,33,16
YO32,9,42,0,36,4.7
YO41,,0,6,,
YO42,7,9,0,0,1.3
YO43,0,0,5,0,0
YO51,7,27,0,0,3.9
YO60,,0,5,,
YO61,13,70,0,0,5.4
YO62,0,0,14,0,0
