Row Labels,Number of instructors,Sum of Number of schools,No delivery due to covid,Sum of Levels 1 and 2 places attended (2020/21),Sum of L1 and L2 places attended - 2019/20,Sum of Level 3 Places Attended (2020/21),Sum of Plus Places Attended (2020/21),Sum of % schools that booked Bikeability2,Sum of % schools that booked Bikeability,Sum of Level 3 places attended - 2019/20,Sum of Level 3 Places Attended (2018/19),Sum of Levels 1 and 2 Places Attended (2018/19)
S17,0,10,,94,140,0,12,20,20,0,0,167
S18,0,2,,0,0,0,0,0,0,0,0,0
S2,3,6,,30,33,0,0,17,17,0,0,116
S20,0,14,,354,395,0,121,43,43,0,0,0
S21,0,18,,48,195,0,4,6,6,0,0,166
S25,1,11,,71,14,0,0,9,9,0,20,62
S26,0,11,,3,211,0,0,18,18,0,0,0
S3,0,10,,56,38,0,0,20,20,0,0,30
S32,1,14,,0,63,0,0,0,0,0,0,95
S33,0,6,,0,12,0,0,0,0,0,0,77
S35,1,5,,19,37,0,0,40,40,0,0,0
S36,1,7,,0,19,38,38,43,43,0,0,0
S4,1,19,,147,304,0,8,26,26,0,0,197
S40,7,13,,160,121,0,0,54,54,0,0,223
S41,1,6,,0,88,0,0,0,0,0,0,60
S42,2,14,,373,294,7,86,57,57,29,0,0
S43,1,18,,246,443,25,59,61,61,87,0,0
S44,2,10,,150,247,2,7,50,50,0,0,0
S45,0,21,,93,307,2,24,24,24,16,0,0
S5,1,12,,115,164,1,3,25,25,0,0,0
S6,3,6,,102,122,0,8,33,33,0,0,0
S60,0,19,,0,31,0,0,0,0,0,0,127
S61,0,16,,44,102,0,0,6,6,0,0,211
S62,0,18,,26,78,0,0,6,6,0,0,29
S63,0,15,,0,15,0,0,0,0,0,0,53
S64,1,12,,20,44,0,0,8,8,0,0,91
S65,0,20,Yes,0,66,0,0,5,5,0,0,101
S66,0,18,,0,119,0,46,6,6,0,0,183
S7,2,13,,0,30,0,0,0,0,0,0,33
S70,1,18,,0,121,0,0,0,0,0,23,120
S71,0,9,,40,206,0,0,11,11,20,0,275
S72,0,15,,22,131,238,0,13,13,44,97,184
S73,1,17,,65,244,0,0,18,18,0,16,251
S74,0,10,,22,106,0,0,10,10,38,0,49
S75,3,10,,88,83,0,0,40,40,17,4,99
S8,4,8,,21,92,80,85,50,50,80,26,55
S80,1,18,,75,180,0,53,22,22,0,0,341
S81,1,14,,95,54,0,10,21,21,0,0,60
S9,0,13,,235,130,0,36,38,38,0,0,140
SE1,2,14,,222,239,0,66,36,36,0,9,256
SE10,2,13,,60,0,0,0,8,8,0,0,20
SE11,2,27,,0,0,0,0,0,0,0,0,0
SE12,0,9,,0,0,0,0,0,0,0,0,0
SE13,2,14,,0,0,0,0,0,0,0,0,0
SE14,1,10,,0,0,0,0,0,0,0,0,0
SE15,2,8,,0,0,0,0,0,0,0,0,0
SE16,1,10,,0,0,0,0,0,0,0,0,0
SE17,0,28,,0,0,0,0,0,0,0,0,0
SE18,5,19,,0,0,0,0,0,0,0,0,0
SE19,3,12,,0,0,0,0,0,0,0,0,0
SE2,1,27,,0,0,0,0,0,0,0,0,0
SE20,0,12,,0,0,0,0,0,0,0,0,0
SE21,2,8,,0,0,0,0,0,0,0,0,0
SE22,4,6,,0,0,0,0,0,0,0,0,0
SE23,3,11,,0,0,0,0,0,0,0,0,0
SE24,2,11,,0,0,0,0,0,0,0,0,0
SE25,2,14,,0,0,0,0,0,0,0,0,0
SE26,1,8,,0,0,0,0,0,0,0,0,0
SE27,4,13,,0,0,0,0,0,0,0,0,0
SE28,1,10,,0,0,0,0,0,0,0,0,0
SE3,2,6,,0,0,0,0,0,0,0,0,0
SE4,3,11,,0,0,0,0,0,0,0,0,0
SE5,4,18,,0,0,0,0,0,0,0,0,0
SE6,3,9,,0,0,0,0,0,0,0,0,0
SE7,3,18,,0,0,0,0,0,0,0,0,0
SE8,2,18,,0,0,0,0,0,0,0,0,0
SE9,3,9,,0,0,0,0,0,0,0,0,0
SG1,2,19,Yes,0,190,0,0,21,21,10,7,167
SG10,0,12,,0,0,0,0,0,0,0,0,0
SG11,1,8,Yes,0,145,0,0,38,38,0,0,106
SG12,1,20,Yes,0,114,0,0,15,15,0,6,138
SG13,1,29,,0,0,0,0,0,0,0,0,0
SG14,1,12,Yes,0,124,0,0,25,25,0,0,184
SG15,0,2,Yes,0,49,0,0,50,50,0,0,0
SG16,1,2,,0,27,0,0,0,0,0,0,28
SG17,0,10,,34,144,0,0,40,40,21,18,109
SG18,1,4,,37,100,0,0,75,75,0,0,0
SG19,4,6,,56,160,0,0,50,50,0,0,0
SG2,4,12,,39,99,0,0,33,33,0,6,130
SG3,0,12,,20,104,0,0,33,33,0,0,84
SG4,0,22,,14,138,0,0,14,14,13,23,223
SG5,0,3,,0,100,0,0,0,0,0,0,96
SG6,4,19,,97,358,0,0,42,42,0,0,251
SG7,1,17,,111,337,0,0,47,47,0,0,116
SG8,0,17,,37,92,0,0,24,24,0,0,146
SG9,1,8,Yes,0,56,0,0,13,13,0,0,32
SK1,0,8,,0,47,0,0,0,0,0,0,64
SK10,2,22,,118,294,0,0,41,41,30,0,332
SK11,1,5,,0,52,0,0,0,0,0,0,33
SK12,1,22,,327,556,46,46,36,36,81,72,500
SK13,2,17,,115,359,0,0,18,18,24,84,215
SK14,2,9,,110,233,0,0,11,11,0,0,224
SK15,2,20,,84,204,0,0,30,30,28,0,0
SK16,0,22,,74,334,0,0,14,14,0,0,240
SK17,4,14,,144,203,0,0,29,29,0,0,260
SK2,1,11,,77,53,0,0,18,18,0,0,48
SK22,0,26,,48,226,4,89,19,19,36,0,24
SK23,3,11,,29,91,0,0,9,9,0,0,107
SK3,1,9,,76,130,0,0,67,67,32,0,0
SK4,7,10,,23,166,0,29,20,20,0,0,0
SK5,0,15,,33,183,0,0,20,20,0,0,77
SK6,3,19,,146,296,0,0,32,32,0,0,257
SK7,0,14,,30,51,0,0,7,7,0,0,55
SK8,4,21,,118,373,0,0,19,19,0,0,283
SK9,0,15,,132,249,0,0,33,33,0,0,328
SL0,0,32,,48,598,60,0,13,13,0,0,562
SL1,0,16,,262,442,65,1,38,38,0,0,402
SL2,0,23,Yes,0,192,0,0,4,4,0,26,237
SL3,1,4,,23,47,0,0,25,25,0,0,52
SL4,0,29,,36,192,0,0,7,7,19,78,215
SL5,1,21,,0,133,0,0,0,0,9,45,138
SL6,4,30,,23,155,0,0,3,3,0,11,303
SL7,2,15,,0,111,0,0,0,0,0,0,72
SL8,0,42,,268,452,0,0,17,17,9,47,365
SL9,0,12,,24,130,0,0,17,17,0,0,137
SM1,3,3,,24,48,0,0,33,33,0,0,0
SM2,1,7,Yes,0,46,0,0,14,14,0,0,122
SM3,0,10,,96,50,0,0,30,30,0,0,63
SM4,0,11,,0,0,0,0,0,0,0,0,0
SM5,3,9,,0,0,0,0,0,0,0,0,0
SM6,2,12,,0,0,0,0,0,0,0,0,0
SM7,2,18,,0,0,0,0,0,0,0,0,0
SN1,1,15,,0,0,0,0,0,0,0,0,0
SN10,3,8,,38,264,0,0,25,25,0,0,211
SN11,0,12,Yes,0,202,0,0,58,58,0,0,129
SN12,1,9,,96,71,0,0,33,33,0,0,34
SN13,1,20,,107,116,0,0,20,20,0,0,76
SN14,4,11,,43,28,0,0,27,27,0,0,55
SN15,2,7,,18,144,0,0,86,86,0,0,113
SN16,0,14,,80,183,18,0,64,64,36,56,68
SN2,1,17,,73,161,0,0,71,71,0,0,116
SN25,1,8,,80,80,0,0,75,75,0,0,80
SN26,0,15,,23,38,0,0,7,7,0,0,53
SN3,2,18,,141,187,0,0,28,28,0,0,36
SN4,2,1,,0,0,0,0,0,0,0,0,0
SN5,1,23,,49,108,0,0,9,9,0,0,45
SN6,1,12,,12,132,0,0,17,17,0,0,62
SN7,2,14,,78,166,0,0,29,29,0,0,174
SN8,1,14,,120,84,18,0,29,29,19,9,87
SN9,0,9,,0,8,0,0,0,0,8,0,0
SO14,1,7,Yes,0,119,0,0,14,14,0,0,0
SO15,0,15,,169,167,0,0,80,80,0,0,202
SO16,3,6,,18,18,0,0,33,33,0,0,28
SO17,0,14,,0,261,0,0,0,0,0,0,0
SO18,0,13,Yes,0,420,0,0,8,8,0,0,0
SO19,1,28,,84,448,0,48,25,25,0,0,0
SO20,0,5,,36,101,0,0,20,20,0,0,0
SO21,0,19,,36,197,0,89,37,37,0,0,0
SO22,0,5,,0,34,0,39,40,40,0,0,0
SO23,1,14,,94,170,0,0,43,43,0,0,181
SO24,1,11,,190,55,0,0,45,45,0,0,253
SO30,2,8,,41,185,0,0,25,25,0,0,143
SO31,0,6,,33,41,0,0,33,33,0,0,34
SO32,0,9,,96,362,12,0,56,56,30,0,229
SO40,1,15,,90,372,0,0,20,20,0,0,105
SO41,1,11,,47,135,0,0,27,27,0,0,262
SO42,0,19,,143,380,0,0,21,21,0,0,348
SO43,1,15,,155,265,0,0,33,33,5,17,203
SO45,0,2,,28,42,0,0,50,50,0,0,44
SO50,1,4,,0,0,0,0,0,0,0,0,0
SO51,2,16,,158,409,0,0,25,25,0,0,202
SO52,1,16,,237,324,0,0,50,50,0,0,367
SO53,2,15,,292,293,2,121,67,67,4,0,0
SP1,2,2,,0,55,0,0,0,0,30,0,0
SP10,0,14,,153,225,0,0,50,50,25,35,257
SP11,0,19,,46,157,0,0,47,47,0,0,167
SP2,0,19,,129,424,0,120,21,21,0,0,0
SP3,2,22,,123,255,0,30,41,41,6,0,24
SP4,1,13,,53,75,0,0,23,23,0,0,86
SP5,0,8,,8,38,0,0,75,75,0,0,21
SP6,0,20,,54,169,0,0,55,55,0,0,151
SP7,0,14,,61,91,0,0,43,43,0,0,123
SP8,0,9,,93,24,0,0,56,56,0,0,86
SP9,0,5,Yes,0,38,0,0,40,40,0,0,11
SR1,0,8,,4,68,11,0,38,38,27,19,91
SR2,2,7,,0,43,0,0,0,0,9,6,59
SR3,2,1,,0,0,0,0,0,0,0,0,0
SR4,1,16,Yes,0,199,0,0,31,31,0,0,184
SR5,5,19,,8,221,0,2,16,16,0,0,209
SR6,2,11,Yes,0,294,0,0,18,18,0,0,385
SR7,1,11,Yes,0,283,0,0,9,9,0,0,273
SR8,0,17,,15,270,0,3,24,24,0,0,225
SS0,4,14,Yes,0,299,0,0,7,7,117,37,340
SS1,4,16,,74,263,0,23,44,44,231,0,214
SS11,0,20,,129,154,0,0,30,30,0,0,93
SS12,0,6,,186,66,0,0,50,50,0,11,301
SS13,0,7,Yes,0,16,0,0,14,14,0,0,18
SS14,0,10,Yes,0,41,0,0,50,50,40,0,9
SS15,3,5,,42,17,0,0,40,40,0,0,18
SS16,3,7,,14,75,0,0,71,71,18,0,54
SS17,2,9,,24,67,0,0,33,33,0,0,64
SS2,1,10,,23,49,27,0,40,40,65,148,55
SS3,0,11,,153,336,0,0,64,64,0,0,390
SS4,1,13,,0,83,0,149,8,8,0,0,267
SS5,2,9,,24,69,0,0,44,44,0,0,129
SS6,2,10,,48,55,0,0,30,30,0,0,0
SS7,6,5,,24,118,0,0,20,20,0,0,0
SS8,1,10,,24,168,0,0,10,10,0,0,0
SS9,5,18,,132,217,36,18,44,44,0,0,0
ST1,1,12,,42,97,0,0,17,17,0,0,0
ST10,1,18,,348,694,0,0,39,39,0,3,412
ST11,1,14,,101,118,0,120,21,21,0,0,149
ST12,0,19,,374,114,0,0,37,37,30,0,182
ST13,1,9,,96,197,55,55,33,33,0,59,254
ST14,4,2,,25,0,0,0,50,50,0,0,23
ST15,3,17,,17,139,24,24,12,12,80,0,95
ST16,0,17,,314,112,48,98,18,18,36,33,45
ST17,1,11,,604,321,0,98,45,45,56,0,527
ST18,2,10,,29,235,0,100,50,50,57,63,227
ST19,0,22,,1007,854,0,76,50,50,76,92,923
ST2,2,13,,325,152,0,20,54,54,91,207,194
ST20,0,14,,48,0,60,60,7,7,0,0,0
ST21,1,15,,209,274,0,6,27,27,0,0,375
ST3,1,3,,192,117,0,0,100,100,0,0,70
ST4,0,3,,0,54,0,0,0,0,0,0,37
ST5,1,27,,318,519,0,0,19,19,71,12,587
ST6,0,22,,357,661,269,338,36,36,344,319,622
ST7,2,38,,647,675,82,86,39,39,165,102,741
ST8,0,26,,364,583,0,60,27,27,126,70,762
ST9,0,28,,473,507,0,120,29,29,3,0,422
SW10,0,10,,118,55,27,34,20,20,48,40,72
SW11,1,8,,131,186,0,0,38,38,66,104,224
SW12,0,6,,0,0,0,0,0,0,0,0,0
SW13,0,24,,0,0,0,0,0,0,0,0,0
SW14,0,16,,0,0,0,0,0,0,0,0,0
SW15,1,6,,0,0,0,0,0,0,0,0,0
SW16,4,6,,0,0,0,0,0,0,0,0,0
SW17,1,26,,0,0,0,0,0,0,0,0,0
SW18,2,16,,0,0,0,0,0,0,0,0,0
SW19,1,23,,0,0,0,0,0,0,0,0,0
SW1E,0,18,,0,0,0,0,0,0,0,0,0
SW1H,0,31,,0,0,0,0,0,0,0,0,0
SW1P,1,1,,0,0,0,0,0,0,0,0,0
SW1V,0,1,,0,0,0,0,0,0,0,0,0
SW1W,0,10,,0,0,0,0,0,0,0,0,0
SW1X,0,7,,0,0,0,0,0,0,0,0,0
SW2,7,5,,0,0,0,0,0,0,0,0,0
SW20,0,5,,0,0,0,0,0,0,0,0,0
SW3,0,16,,0,0,0,0,0,0,0,0,0
SW4,1,14,,0,0,0,0,0,0,0,0,0
SW5,0,10,,0,0,0,0,0,0,0,0,0
SW6,1,17,,0,0,0,0,0,0,0,0,0
SW7,0,5,,0,0,0,0,0,0,0,0,0
SW8,0,25,,0,0,0,0,0,0,0,0,0
SW9,4,9,,0,0,0,0,0,0,0,0,0
SY1,1,9,,0,0,0,0,0,0,0,0,0
SY10,1,12,,0,0,0,0,0,0,0,0,0
SY11,0,13,,91,340,3,0,31,31,27,0,190
SY12,0,7,,30,110,0,0,43,43,0,0,118
SY13,1,12,,56,110,0,0,33,33,100,0,191
SY14,1,6,,24,50,0,0,50,50,0,0,22
SY15,0,10,,0,38,0,0,0,0,14,1,16
SY16,1,,,,,,,,,,,
SY2,0,5,,0,0,0,0,0,0,0,0,39
SY22,1,,,,,,,,,,,
SY3,6,1,,0,0,0,0,0,0,0,0,0
SY4,0,8,,41,128,0,0,25,25,55,0,79
SY5,2,12,,33,110,24,0,25,25,25,69,125
SY6,0,20,,89,200,94,0,35,35,14,0,148
SY7,0,13,,44,116,0,0,38,38,59,6,160
SY8,0,4,,20,72,0,0,50,50,22,0,42
SY9,0,3,Yes,0,0,0,0,33,33,0,29,0
TA1,1,11,,30,82,13,0,18,18,0,10,128
TA10,0,9,,21,156,0,0,22,22,0,0,152
TA11,0,16,,124,155,0,0,31,31,0,0,177
TA12,0,6,,110,88,0,0,67,67,0,0,105
TA13,0,5,,36,36,0,0,40,40,0,0,39
TA14,0,3,,54,42,0,0,67,67,0,0,36
TA15,0,2,,18,24,0,0,100,100,0,0,24
TA16,0,3,,30,6,0,0,67,67,0,0,12
TA17,0,1,,24,0,0,0,100,100,0,0,0
TA18,0,1,,0,0,0,0,0,0,0,0,0
TA19,0,1,,0,0,0,0,0,0,0,0,0
TA2,2,8,,0,0,0,0,0,0,0,0,0
TA20,0,6,,31,12,0,0,17,17,0,0,0
TA21,1,18,,69,78,0,0,22,22,0,0,92
TA22,0,11,,51,66,0,0,27,27,0,0,84
TA23,0,13,,88,59,0,0,54,54,0,0,44
TA24,1,2,,18,24,0,0,50,50,0,0,22
TA3,2,2,,0,0,0,0,0,0,0,0,0
TA4,0,9,,0,0,0,0,0,0,0,0,0
TA5,0,11,,117,137,0,0,45,45,0,0,85
TA6,1,11,,208,132,0,0,64,64,0,0,76
TA7,0,7,,30,12,0,0,29,29,0,0,14
TA8,0,21,,138,105,0,0,33,33,0,0,134
TA9,0,10,,65,96,0,0,40,40,0,0,92
TD15,2,4,,12,12,0,0,25,25,0,0,47
TF1,0,8,,0,12,0,0,0,0,0,0,21
TF10,1,16,,0,117,0,0,0,0,0,0,49
TF11,1,15,,96,54,0,0,13,13,0,0,95
TF12,0,12,,96,145,0,0,17,17,0,0,230
TF13,0,7,,17,114,0,0,14,14,0,0,50
TF2,2,3,,27,31,18,0,67,67,0,14,89
TF3,2,3,,17,0,0,0,33,33,0,0,22
TF4,2,17,,84,145,0,0,12,12,0,0,62
TF5,0,10,,72,76,0,0,10,10,0,0,109
TF6,0,11,,0,47,0,0,0,0,0,0,18
TF7,0,1,,0,41,0,0,0,0,0,0,120
TF8,0,5,,36,27,0,0,20,20,0,0,29
TF9,1,10,,0,77,0,0,0,0,0,0,85
TN1,0,2,,0,22,0,0,0,0,0,0,19
TN10,0,14,,44,102,0,0,29,29,0,0,101
TN11,0,1,,0,0,0,0,0,0,0,0,0
TN12,2,6,,0,26,0,0,0,0,0,0,16
TN13,0,13,,65,131,0,0,31,31,0,0,78
TN14,2,10,,0,89,0,0,0,0,0,0,30
TN15,0,16,,77,171,0,0,13,13,0,0,211
TN16,3,10,,40,100,0,0,20,20,0,0,174
TN17,0,14,,13,91,0,0,7,7,0,63,74
TN18,0,7,,43,13,0,0,29,29,0,0,0
TN19,1,3,Yes,0,57,0,0,67,67,0,0,32
TN2,0,12,,53,60,0,0,25,25,0,0,67
TN20,0,4,,0,40,0,0,0,0,0,0,40
TN21,1,12,,64,49,0,0,8,8,2,0,56
TN22,2,4,,21,21,0,0,25,25,0,0,13
TN23,0,8,,120,125,0,24,75,75,0,0,106
TN24,1,16,,75,216,0,0,69,69,0,0,288
TN25,3,15,,377,426,61,94,67,67,95,0,0
TN26,0,13,,212,72,0,0,31,31,0,0,0
TN27,0,15,,141,220,0,0,47,47,0,0,34
TN28,0,4,,46,70,0,0,50,50,0,0,30
TN29,0,8,,12,75,0,0,38,38,0,0,31
TN3,0,3,,0,0,0,0,0,0,0,0,0
TN30,0,4,,11,47,0,0,25,25,0,0,35
TN31,0,9,,28,121,0,0,22,22,0,0,50
TN32,1,6,,0,34,0,0,0,0,0,0,0
TN33,3,8,,44,36,0,0,63,63,0,0,79
TN34,2,6,Yes,0,32,0,0,50,50,0,0,45
TN35,0,8,Yes,0,69,0,0,50,50,0,0,49
TN36,0,2,Yes,0,15,0,0,50,50,0,0,13
TN37,1,7,,28,71,0,0,43,43,0,0,43
TN38,0,9,,74,172,0,0,67,67,0,0,134
TN39,1,6,Yes,0,40,0,0,67,67,54,0,0
TN4,3,6,,42,93,0,0,67,67,0,0,67
TN40,0,9,,11,37,0,0,44,44,0,0,49
TN5,0,16,,117,223,20,0,31,31,0,0,34
TN6,0,7,,30,50,0,0,57,57,0,0,61
TN7,0,2,Yes,0,26,0,0,50,50,0,0,20
TN8,0,6,,0,106,0,30,33,33,0,0,71
TN9,0,9,,44,133,0,0,44,44,0,0,169
TQ1,2,6,,22,15,0,0,17,17,0,0,9
TQ10,0,9,,49,44,11,0,22,22,0,32,40
TQ11,0,2,Yes,0,40,0,0,50,50,0,0,21
TQ12,2,14,,101,241,4,0,29,29,49,0,240
TQ13,3,1,,0,52,0,0,0,0,0,0,47
TQ14,0,7,Yes,0,163,0,0,29,29,9,0,94
TQ2,4,27,,121,429,0,0,56,56,190,212,432
TQ3,0,14,,39,199,0,0,36,36,0,0,128
TQ4,1,13,,140,235,0,0,23,23,92,0,273
TQ5,0,7,,116,250,8,12,57,57,83,0,99
TQ6,0,4,Yes,0,0,0,0,50,50,24,0,39
TQ7,0,9,Yes,0,195,0,0,22,22,0,0,129
TQ8,1,5,,28,216,0,0,20,20,0,0,172
TQ9,4,7,,63,139,0,0,71,71,12,0,80
TR1,0,1,,0,11,0,0,0,0,0,0,13
TR10,0,18,,92,179,0,0,39,39,40,22,108
TR11,0,11,,23,24,0,0,27,27,0,0,0
TR12,0,3,,24,21,0,0,67,67,0,0,0
TR13,0,10,,98,59,0,0,30,30,0,0,0
TR14,2,9,,36,65,0,0,44,44,0,0,0
TR15,1,12,,66,11,0,0,42,42,0,0,0
TR16,1,14,,71,36,0,0,36,36,0,0,0
TR17,0,7,,0,33,0,0,0,0,0,0,0
TR18,2,7,,24,29,0,0,43,43,0,0,0
TR19,0,1,,0,7,0,0,0,0,0,0,0
TR2,0,9,,46,112,0,29,67,67,0,0,0
TR20,1,7,,41,30,0,0,71,71,0,0,0
TR21,0,9,,63,45,0,0,56,56,0,0,0
TR26,1,8,,69,63,0,0,38,38,0,0,0
TR27,0,1,,0,0,0,0,0,0,0,0,0
TR3,3,4,,20,8,0,0,25,25,0,0,0
TR4,0,8,,81,53,0,0,50,50,0,0,0
TR5,0,7,,81,36,0,0,71,71,0,0,0
TR6,0,11,,24,32,0,0,27,27,0,0,0
TR7,0,2,,0,0,0,0,0,0,0,0,0
TR8,0,1,,0,0,0,0,0,0,0,0,0
TR9,0,6,,121,56,0,0,33,33,0,0,0
TS1,0,5,,21,30,0,0,20,20,0,0,0
TS10,0,2,,36,42,0,0,50,50,0,0,0
TS11,1,5,,0,18,0,0,0,0,0,0,59
TS12,2,15,,48,152,0,101,33,33,13,24,89
TS13,0,5,,53,0,0,0,20,20,0,0,0
TS14,0,10,,0,177,0,0,0,0,0,0,152
TS15,0,6,,0,21,0,0,0,0,0,0,0
TS16,0,7,,12,162,0,0,57,57,0,0,102
TS17,0,8,,45,80,0,0,38,38,0,0,70
TS18,1,7,,25,90,0,0,14,14,0,0,72
TS19,2,18,,71,30,0,0,6,6,0,0,223
TS2,0,8,,0,24,0,0,0,0,0,0,0
TS20,1,17,,0,52,0,0,0,0,0,0,89
TS21,0,7,Yes,0,5,0,0,14,14,0,0,118
TS22,0,1,,0,0,0,0,0,0,0,0,0
TS23,0,9,,0,22,0,0,0,0,0,0,0
TS24,0,5,,0,106,0,0,0,0,0,0,56
TS25,0,11,,15,44,0,0,9,9,0,0,68
TS26,2,11,,0,15,0,0,0,0,0,0,25
TS27,0,18,,0,184,0,0,0,0,0,0,60
TS28,0,7,,0,175,0,0,0,0,0,7,88
TS29,0,7,,6,63,0,0,14,14,0,0,75
TS3,0,4,,0,0,0,0,0,0,0,0,0
TS4,0,3,,0,0,0,0,0,0,0,0,14
TS5,3,19,,0,118,0,0,0,0,0,0,120
TS6,0,9,,0,131,0,0,0,0,0,0,137
TS7,0,12,,2,181,0,2,8,8,0,0,162
TS8,0,15,,89,169,0,32,33,33,0,0,278
TS9,2,11,,2,32,0,2,9,9,0,0,21
TW1,4,7,,41,77,0,0,29,29,0,0,69
TW10,1,8,,0,58,0,0,0,0,0,0,57
TW11,3,10,,0,0,0,0,0,0,0,0,0
TW12,5,12,,0,0,0,0,0,0,0,0,0
TW13,1,7,,0,0,0,0,0,0,0,0,0
TW14,0,11,,0,0,0,0,0,0,0,0,0
TW15,4,15,,0,0,0,0,0,0,0,0,0
TW16,3,8,,0,0,0,0,0,0,0,0,0
TW17,0,9,,87,226,0,0,56,56,0,0,236
TW18,1,8,Yes,0,172,0,0,50,50,0,0,210
TW19,1,9,,32,103,0,0,22,22,0,0,49
TW2,4,6,,0,79,0,0,0,0,0,0,24
TW20,0,3,,0,26,0,0,0,0,0,0,35
TW3,4,17,,0,0,0,0,0,0,0,0,0
TW4,0,10,,30,129,0,0,30,30,0,0,167
TW5,0,10,,0,0,0,0,0,0,0,0,0
TW7,0,8,,0,0,0,0,0,0,0,0,0
TW8,0,10,,0,0,0,0,0,0,0,0,0
TW9,2,16,,0,0,0,0,0,0,0,0,0
UB1,0,7,,0,0,0,0,0,0,0,0,0
UB10,9,10,,0,0,0,0,0,0,0,0,0
UB2,0,16,,0,0,0,0,0,0,0,0,0
UB3,1,16,,0,0,0,0,0,0,0,0,0
UB4,0,14,,0,0,0,0,0,0,0,0,0
UB5,1,15,,0,0,0,0,0,0,0,0,0
UB6,2,16,,0,0,0,0,0,0,0,0,0
UB7,3,12,,0,0,0,0,0,0,0,0,0
UB8,2,15,,0,0,0,0,0,0,0,0,0
UB9,1,12,,0,0,0,0,0,0,0,0,0
W10,0,15,,0,0,0,0,0,0,0,0,0
W11,2,5,,0,0,0,0,0,0,0,0,0
W12,3,23,,0,0,0,0,0,0,0,0,0
W13,1,12,,0,0,0,0,0,0,0,0,0
W14,0,21,,0,0,0,0,0,0,0,0,0
W1B,0,10,,0,0,0,0,0,0,0,0,0
W1D,0,13,,0,0,0,0,0,0,0,0,0
W1G,0,3,,0,0,0,0,0,0,0,0,0
W1H,0,1,,0,0,0,0,0,0,0,0,0
W1J,0,1,,0,0,0,0,0,0,0,0,0
W1K,1,6,,0,0,0,0,0,0,0,0,0
W1U,0,1,,0,0,0,0,0,0,0,0,0
W1W,0,1,,0,0,0,0,0,0,0,0,0
W2,2,3,,0,0,0,0,0,0,0,0,0
W3,3,1,,0,0,0,0,0,0,0,0,0
W4,3,15,,0,0,0,0,0,0,0,0,0
W5,0,21,,0,0,0,0,0,0,0,0,0
W6,0,14,,0,0,0,0,0,0,0,0,0
W7,1,17,,0,0,0,0,0,0,0,0,0
W8,0,24,,0,0,0,0,0,0,0,0,0
W9,1,11,,0,0,0,0,0,0,0,0,0
WA1,2,7,,0,0,0,0,0,0,0,0,0
WA10,1,12,,0,0,0,0,0,0,0,0,0
WA11,0,11,,120,151,0,26,36,36,78,121,88
WA12,0,13,,19,126,0,0,8,8,0,0,0
WA13,1,14,,0,135,0,0,0,0,0,0,0
WA14,1,10,,18,207,19,0,20,20,0,0,0
WA15,2,6,,81,168,0,27,33,33,26,0,122
WA16,2,16,,50,259,0,0,6,6,0,0,292
WA2,1,18,,18,333,0,0,6,6,0,0,352
WA3,1,12,,118,330,0,60,17,17,89,79,177
WA4,3,17,,64,250,0,0,29,29,9,0,218
WA5,0,23,,77,178,0,0,22,22,59,11,326
WA6,0,24,,96,273,12,0,21,21,99,0,190
WA7,3,23,,141,355,0,0,35,35,148,157,528
WA8,2,12,,56,151,0,0,50,50,0,15,122
WA9,1,40,,172,260,0,0,30,30,18,6,277
WC1A,0,30,,177,185,0,0,20,20,0,19,185
WC1B,0,21,,33,194,0,0,5,5,0,0,0
WC1H,0,1,,0,0,0,0,0,0,0,0,0
WC1N,0,1,,0,0,0,0,0,0,0,0,0
WC2B,0,1,,0,0,0,0,0,0,0,0,0
WC2E,0,3,,0,0,0,0,0,0,0,0,0
WD17,1,8,Yes,0,44,0,0,13,13,0,0,36
WD18,3,2,,0,0,0,0,0,0,0,0,0
WD19,0,1,,0,0,0,0,0,0,0,0,0
WD23,0,12,,66,63,0,0,25,25,12,0,45
WD24,0,9,,0,90,0,0,0,0,0,0,86
WD25,0,20,,36,120,0,0,20,20,0,14,136
WD3,1,7,,67,18,0,0,29,29,0,0,14
WD4,0,17,,22,41,0,0,12,12,0,0,32
WD5,0,5,Yes,0,82,0,0,20,20,0,0,101
WD6,1,25,,123,292,0,0,36,36,42,63,320
WD7,0,4,,27,43,0,0,25,25,0,0,47
WF1,1,17,,0,65,0,0,0,0,0,0,47
WF10,1,9,,32,160,0,0,33,33,0,0,97
WF11,1,19,,125,208,0,0,16,16,0,0,163
WF12,2,18,,47,92,0,0,11,11,0,0,47
WF13,0,8,,0,29,0,0,0,0,0,0,49
WF14,2,18,,97,113,0,40,39,39,0,0,0
WF15,1,15,,42,285,0,21,40,40,0,0,0
WF16,0,8,,136,195,0,0,38,38,0,0,0
WF17,3,9,,102,183,0,89,78,78,0,0,0
WF2,0,5,,28,112,0,67,40,40,4,0,0
WF3,0,27,,200,374,0,141,63,63,6,0,0
WF4,3,21,,77,277,0,0,10,10,0,0,181
WF5,0,13,,255,380,0,6,46,46,48,48,279
WF6,0,24,,183,376,0,45,29,29,0,0,253
WF7,1,12,,28,219,0,0,8,8,0,0,176
WF8,4,10,,30,73,0,0,10,10,0,0,40
WF9,0,13,,102,102,0,0,23,23,0,0,64
WN1,1,17,,0,196,0,0,0,0,0,0,221
WN2,0,18,,28,96,0,0,6,6,0,0,149
