Row Labels,Count of No delivery due to covid,Sum of L1 and L2 places attended - 2019/20,Sum of Level 3 Places Attended (2018/19),Sum of Levels 1 and 2 Places Attended (2018/19),Sum of L3 places attended - 2019/20,Sum of Number of schools,Sum of Level 3 Places Attended (2020/21),Sum of % schools that booked Bikeability,Sum of Plus Places Attended (2020/21),Sum of Levels 1 and 2 places attended (2020/21)
SW1P,,0,0,0,0,10,0,0,0,0
SW1V,,0,0,0,0,7,0,0,0,0
SW1W,,0,0,0,0,5,0,0,0,0
SW1X,,0,0,0,0,5,0,0,0,0
SW2,,0,0,0,0,16,0,0,0,0
SW20,,0,0,0,0,14,0,0,0,0
SW3,,0,0,0,0,10,0,0,0,0
SW4,,0,0,0,0,17,0,0,0,0
SW5,,0,0,0,0,5,0,0,0,0
SW6,,0,0,0,0,25,0,0,0,0
SW7,,0,0,0,0,9,0,0,0,0
SW8,,0,0,0,0,9,0,0,0,0
SW9,,0,0,0,0,12,0,0,0,0
SY1,,340,0,190,27,13,3,31,0,91
SY10,,110,0,118,0,7,0,43,0,30
SY11,,110,0,191,100,12,0,33,0,56
SY12,,50,0,22,0,6,0,50,0,24
SY13,,38,1,16,14,10,0,0,0,0
SY14,,0,0,39,0,5,0,0,0,0
SY15,,0,0,0,0,1,0,0,0,0
SY2,,128,0,79,55,8,0,25,0,41
SY3,,110,69,125,25,12,24,25,0,33
SY4,,200,0,148,14,20,94,35,0,89
SY5,,116,6,160,59,13,0,38,0,44
SY6,,72,0,42,22,4,0,50,0,20
SY7,,82,10,128,0,11,13,18,0,30
SY8,,156,0,152,0,9,0,22,0,21
TA1,,155,0,177,0,16,0,31,0,124
TA10,,88,0,105,0,6,0,67,0,110
TA11,,36,0,39,0,5,0,40,0,36
TA12,,42,0,36,0,3,0,67,0,54
TA13,,24,0,24,0,2,0,100,0,18
TA14,,6,0,12,0,3,0,67,0,30
TA15,,0,0,0,0,1,0,100,0,24
TA16,,0,0,0,0,1,0,0,0,0
TA17,,0,0,0,0,1,0,0,0,0
TA18,,0,0,0,0,8,0,0,0,0
TA19,,12,0,0,0,6,0,17,0,31
TA2,,78,0,92,0,18,0,22,0,69
TA20,,66,0,84,0,11,0,27,0,51
TA21,,59,0,44,0,13,0,54,0,88
TA22,,24,0,22,0,2,0,50,0,18
TA23,,0,0,0,0,2,0,0,0,0
TA24,,0,0,0,0,9,0,0,0,0
TA3,,137,0,85,0,11,0,45,0,117
TA4,,132,0,76,0,11,0,64,0,208
TA5,,12,0,14,0,7,0,29,0,30
TA6,,105,0,134,0,21,0,33,0,138
TA7,,96,0,92,0,10,0,40,0,65
TA8,,12,0,47,0,4,0,25,0,12
TA9,,12,0,21,0,8,0,0,0,0
TD15,,117,0,49,0,16,0,0,0,0
TF1,,54,0,95,0,15,0,13,0,96
TF10,,145,0,230,0,12,0,17,0,96
TF11,,114,0,50,0,7,0,14,0,17
TF12,,31,14,89,0,3,18,67,0,27
TF13,,0,0,22,0,3,0,33,0,17
TF2,,145,0,62,0,17,0,12,0,84
TF3,,76,0,109,0,10,0,10,0,72
TF4,,47,0,18,0,11,0,0,0,0
TF5,,41,0,120,0,1,0,0,0,0
TF6,,27,0,29,0,5,0,20,0,36
TF7,,77,0,85,0,10,0,0,0,0
TF8,,22,0,19,0,2,0,0,0,0
TF9,,102,0,101,0,14,0,29,0,44
TN1,,0,0,0,0,1,0,0,0,0
TN10,,26,0,16,0,6,0,0,0,0
TN11,,131,0,78,0,13,0,31,0,65
TN12,,89,0,30,0,10,0,0,0,0
TN13,,171,0,211,0,16,0,13,0,77
TN14,,100,0,174,0,10,0,20,0,40
TN15,,91,63,74,0,14,0,7,0,13
TN16,,13,0,0,0,7,0,29,0,43
TN17,,60,0,67,0,12,0,25,0,53
TN18,,40,0,40,0,4,0,0,0,0
TN2,,49,0,56,2,12,0,8,0,64
TN20,,21,0,13,0,4,0,25,0,21
TN21,,125,0,106,0,8,0,75,24,120
TN22,,216,0,288,0,16,0,69,0,75
TN23,,426,0,0,95,15,61,67,94,377
TN24,,72,0,0,0,13,0,31,0,212
TN25,,220,0,34,0,15,0,47,0,141
TN26,,70,0,30,0,4,0,50,0,46
TN27,,75,0,31,0,8,0,38,0,12
TN28,,0,0,0,0,3,0,0,0,0
TN29,,47,0,35,0,4,0,25,0,11
TN3,,121,0,50,0,9,0,22,0,28
TN30,,34,0,0,0,6,0,0,0,0
TN31,,36,0,79,0,8,0,63,0,44
TN32,,71,0,43,0,7,0,43,0,28
TN33,,172,0,134,0,9,0,67,0,74
TN37,,93,0,67,0,6,0,67,0,42
TN38,,37,0,49,0,9,0,44,0,11
TN4,,223,0,34,0,16,20,31,0,117
TN40,,50,0,61,0,7,0,57,0,30
TN5,,106,0,71,0,6,0,33,30,0
TN6,,133,0,169,0,9,0,44,0,44
TN8,,15,0,9,0,6,0,17,0,22
TN9,,44,32,40,0,9,11,22,0,49
TQ1,,241,0,240,49,14,4,29,0,101
TQ10,,52,0,47,0,1,0,0,0,0
TQ12,,429,212,432,190,27,0,56,0,121
TQ13,,199,0,128,0,14,0,36,0,39
TQ2,,235,0,273,92,13,0,23,0,140
TQ3,,250,0,99,83,7,8,57,12,116
TQ4,,216,0,172,0,5,0,20,0,28
TQ5,,139,0,80,12,7,0,71,0,63
TQ8,,11,0,13,0,1,0,0,0,0
TQ9,,179,22,108,40,18,0,39,0,92
TR1,,24,0,0,0,11,0,27,0,23
TR10,,21,0,0,0,3,0,67,0,24
TR11,,59,0,0,0,10,0,30,0,98
TR12,,65,0,0,0,9,0,44,0,36
TR13,,11,0,0,0,12,0,42,0,66
TR14,,36,0,0,0,14,0,36,0,71
TR15,,33,0,0,0,7,0,0,0,0
TR16,,29,0,0,0,7,0,43,0,24
TR17,,7,0,0,0,1,0,0,0,0
TR18,,112,0,0,0,9,0,67,29,46
TR19,,30,0,0,0,7,0,71,0,41
TR2,,45,0,0,0,9,0,56,0,63
TR20,,63,0,0,0,8,0,38,0,69
TR21,,0,0,0,0,1,0,0,0,0
TR26,,8,0,0,0,4,0,25,0,20
TR27,,53,0,0,0,8,0,50,0,81
TR3,,36,0,0,0,7,0,71,0,81
TR4,,32,0,0,0,11,0,27,0,24
TR5,,0,0,0,0,2,0,0,0,0
TR6,,0,0,0,0,1,0,0,0,0
TR7,,56,0,0,0,6,0,33,0,121
TR8,,30,0,0,0,5,0,20,0,21
TR9,,42,0,0,0,2,0,50,0,36
TS1,,18,0,59,0,5,0,0,0,0
TS10,,152,24,89,13,15,0,33,101,48
TS11,,0,0,0,0,5,0,20,0,53
TS12,,177,0,152,0,10,0,0,0,0
TS13,,21,0,0,0,6,0,0,0,0
TS14,,162,0,102,0,7,0,57,0,12
TS15,,80,0,70,0,8,0,38,0,45
TS16,,90,0,72,0,7,0,14,0,25
TS17,,30,0,223,0,18,0,6,0,71
TS18,,24,0,0,0,8,0,0,0,0
TS19,,52,0,89,0,17,0,0,0,0
TS2,,0,0,0,0,1,0,0,0,0
TS20,,22,0,0,0,9,0,0,0,0
TS22,,106,0,56,0,5,0,0,0,0
TS23,,44,0,68,0,11,0,9,0,15
TS24,,15,0,25,0,11,0,0,0,0
TS25,,184,0,60,0,18,0,0,0,0
TS26,,175,7,88,0,7,0,0,0,0
TS27,,63,0,75,0,7,0,14,0,6
TS28,,0,0,0,0,4,0,0,0,0
TS29,,0,0,14,0,3,0,0,0,0
TS3,,118,0,120,0,19,0,0,0,0
TS4,,131,0,137,0,9,0,0,0,0
TS5,,181,0,162,0,12,0,8,2,2
TS6,,169,0,278,0,15,0,33,32,89
TS7,,32,0,21,0,11,0,9,2,2
TS8,,77,0,69,0,7,0,29,0,41
TS9,,58,0,57,0,8,0,0,0,0
TW1,,0,0,0,0,10,0,0,0,0
TW10,,0,0,0,0,12,0,0,0,0
TW11,,0,0,0,0,7,0,0,0,0
TW12,,0,0,0,0,11,0,0,0,0
TW13,,0,0,0,0,15,0,0,0,0
TW14,,0,0,0,0,8,0,0,0,0
TW15,,226,0,236,0,9,0,56,0,87
TW16,,103,0,49,0,9,0,22,0,32
TW17,,79,0,24,0,6,0,0,0,0
TW19,,26,0,35,0,3,0,0,0,0
TW2,,0,0,0,0,17,0,0,0,0
TW20,,129,0,167,0,10,0,30,0,30
TW3,,0,0,0,0,10,0,0,0,0
TW4,,0,0,0,0,8,0,0,0,0
TW5,,0,0,0,0,10,0,0,0,0
TW7,,0,0,0,0,16,0,0,0,0
TW8,,0,0,0,0,7,0,0,0,0
TW9,,0,0,0,0,10,0,0,0,0
UB1,,0,0,0,0,16,0,0,0,0
UB10,,0,0,0,0,16,0,0,0,0
UB2,,0,0,0,0,14,0,0,0,0
UB3,,0,0,0,0,15,0,0,0,0
UB4,,0,0,0,0,16,0,0,0,0
UB5,,0,0,0,0,12,0,0,0,0
UB6,,0,0,0,0,15,0,0,0,0
UB7,,0,0,0,0,12,0,0,0,0
UB8,,0,0,0,0,15,0,0,0,0
UB9,,0,0,0,0,5,0,0,0,0
W10,,0,0,0,0,23,0,0,0,0
W11,,0,0,0,0,12,0,0,0,0
W12,,0,0,0,0,21,0,0,0,0
W13,,0,0,0,0,10,0,0,0,0
W14,,0,0,0,0,13,0,0,0,0
W1B,,0,0,0,0,3,0,0,0,0
W1D,,0,0,0,0,1,0,0,0,0
W1G,,0,0,0,0,1,0,0,0,0
W1H,,0,0,0,0,6,0,0,0,0
W1J,,0,0,0,0,1,0,0,0,0
W1K,,0,0,0,0,1,0,0,0,0
W1U,,0,0,0,0,3,0,0,0,0
W1W,,0,0,0,0,1,0,0,0,0
W2,,0,0,0,0,15,0,0,0,0
W3,,0,0,0,0,21,0,0,0,0
W4,,0,0,0,0,14,0,0,0,0
W5,,0,0,0,0,17,0,0,0,0
W6,,0,0,0,0,24,0,0,0,0
W7,,0,0,0,0,11,0,0,0,0
W8,,0,0,0,0,7,0,0,0,0
W9,,0,0,0,0,12,0,0,0,0
WA1,,151,121,88,78,11,0,36,26,120
WA10,,126,0,0,0,13,0,8,0,19
WA11,,135,0,0,0,14,0,0,0,0
WA12,,207,0,0,0,10,19,20,0,18
WA13,,168,0,122,26,6,0,33,27,81
WA14,,259,0,292,0,16,0,6,0,50
WA15,,333,0,352,0,18,0,6,0,18
WA16,,330,79,177,89,12,0,17,60,118
WA2,,250,0,218,9,17,0,29,0,64
WA3,,178,11,326,59,23,0,22,0,77
WA4,,273,0,190,99,24,12,21,0,96
WA5,,355,157,528,148,23,0,35,0,141
WA6,,151,15,122,0,12,0,50,0,56
WA7,,260,6,277,18,40,0,30,0,172
WA8,,185,19,185,0,30,0,20,0,177
WA9,,194,0,0,0,21,0,5,0,33
WC1A,,0,0,0,0,1,0,0,0,0
WC1B,,0,0,0,0,1,0,0,0,0
WC1H,,0,0,0,0,1,0,0,0,0
WC1N,,0,0,0,0,3,0,0,0,0
WC2B,,0,0,0,0,2,0,0,0,0
WC2E,,0,0,0,0,1,0,0,0,0
WD18,,63,0,45,12,12,0,25,0,66
WD19,,90,0,86,0,9,0,0,0,0
WD23,,120,14,136,0,20,0,20,0,36
WD24,,18,0,14,0,7,0,29,0,67
WD25,,41,0,32,0,17,0,12,0,22
WD3,,292,63,320,42,25,0,36,0,123
WD4,,43,0,47,0,4,0,25,0,27
WD6,,65,0,47,0,17,0,0,0,0
WD7,,160,0,97,0,9,0,33,0,32
WF1,,208,0,163,0,19,0,16,0,125
WF10,,92,0,47,0,18,0,11,0,47
WF11,,29,0,49,0,8,0,0,0,0
WF12,,113,0,0,0,18,0,39,40,97
WF13,,285,0,0,0,15,0,40,21,42
WF14,,195,0,0,0,8,0,38,0,136
WF15,,183,0,0,0,9,0,78,89,102
WF16,,112,0,0,4,5,0,40,67,28
WF17,,374,0,0,6,27,0,63,141,200
WF2,,277,0,181,0,21,0,10,0,77
WF3,,380,48,279,48,13,0,46,6,255
WF4,,376,0,253,0,24,0,29,45,183
WF5,,219,0,176,0,12,0,8,0,28
WF6,,73,0,40,0,10,0,10,0,30
WF7,,102,0,64,0,13,0,23,0,102
WF8,,196,0,221,0,17,0,0,0,0
WF9,,96,0,149,0,18,0,6,0,28
WN1,,43,0,82,0,9,0,11,0,20
WN2,,316,0,151,12,27,0,22,0,22
WN3,,138,0,165,0,12,0,17,0,40
WN4,,113,0,105,0,14,0,29,0,10
WN5,,103,0,80,0,16,0,0,0,0
WN6,,294,0,176,0,16,0,31,0,70
WN7,,148,6,90,0,19,0,16,0,26
WN8,,188,0,0,0,31,0,19,0,121
WR10,,151,0,136,0,13,0,38,0,27
WR11,,336,0,333,19,23,0,35,0,66
WR12,,45,0,50,0,4,0,75,0,27
WR14,,202,0,217,0,15,0,40,0,53
WR15,,40,0,18,0,4,0,25,0,18
WR2,,182,0,223,0,13,0,46,0,120
WR3,,187,0,148,14,9,0,33,0,98
WR5,,220,0,87,0,15,0,27,0,53
WR6,,153,0,72,0,11,0,18,0,26
WR8,,83,38,69,27,5,0,60,0,63
WR9,,207,0,165,0,14,0,43,0,25
WS1,,60,18,88,0,16,0,0,0,0
WS10,,116,18,60,18,22,0,18,30,49
WS11,,330,75,295,77,18,24,39,63,421
WS12,,489,82,428,33,14,24,36,24,584
WS13,,241,0,298,0,16,60,50,43,501
WS14,,284,0,240,24,8,0,38,0,86
WS15,,336,0,305,21,19,24,21,24,204
WS2,,103,0,117,0,19,0,0,0,0
WS3,,262,0,213,0,25,0,8,30,12
WS4,,47,0,69,0,9,0,11,0,20
WS5,,41,0,40,6,7,0,0,0,0
WS6,,86,0,357,0,7,0,0,0,0
WS7,,283,0,260,0,11,0,27,0,264
WS8,,94,0,107,0,9,0,0,0,0
WS9,,180,36,189,36,12,0,17,0,86
WV1,,181,87,188,110,7,0,0,0,0
WV10,,274,0,175,0,23,0,0,0,0
WV11,,297,27,403,0,16,0,0,0,0
WV12,,127,0,69,0,11,0,0,0,0
WV13,,68,0,54,0,5,0,0,0,0
WV15,,0,0,0,0,3,0,0,0,0
WV16,,67,0,39,0,9,0,33,0,27
WV2,,0,0,7,0,5,0,0,0,0
WV3,,416,4,543,0,13,0,0,0,0
WV4,,200,34,173,0,20,0,0,0,0
WV5,,108,0,125,0,8,0,13,0,57
WV6,,290,0,124,42,22,60,5,60,120
WV7,,18,0,0,0,3,0,0,0,0
WV8,,224,171,158,129,9,18,11,18,80
WV9,,0,0,17,0,2,0,0,0,0
YO10,,140,38,132,15,11,0,18,0,49
YO12,,249,0,183,0,13,14,54,0,85
YO13,,68,0,102,0,7,0,0,0,0
YO15,,18,0,31,0,4,0,0,0,0
YO17,,39,0,105,0,15,0,20,0,10
YO18,,53,0,76,0,6,0,33,0,58
YO19,,41,0,38,14,7,0,0,0,0
YO22,,45,0,43,5,7,0,0,0,0
YO23,,179,37,157,83,10,56,50,0,142
YO26,,112,90,153,105,14,0,21,0,76
YO30,,25,26,27,25,10,7,30,0,71
YO31,,96,0,118,0,9,16,22,0,33
YO32,,216,106,254,90,9,0,44,36,42
YO41,,128,0,45,0,7,0,0,0,0
YO42,,35,0,61,0,9,0,11,0,9
YO51,,18,0,53,0,5,0,40,0,27
YO60,,0,0,39,0,5,0,0,0,0
YO61,,52,0,99,0,10,0,30,0,70
YO7,,0,0,68,0,17,0,12,0,14
YO8,,145,0,209,0,25,0,20,0,48
