Row Labels,Number of schools,% schools booked that booked Bikeability,Levels 1 and 2 places attended (2020/21),Level 3 Places Attended (2020/21),Sum of Plus Places Attended (2020),Total Places attended (2020/21),No Delivery due to Covid
HG1,13,,56,0,0,56,
HG3,25,,15,0,0,15,
HG5,9,,52,0,0,52,
HP1,18,,26,0,0,26,
HP11,11,,47,24,0,71,
HP12,9,,46,0,0,46,
HP13,13,,12,0,0,12,
HP14,10,,30,0,0,30,
HP15,11,,128,0,52,180,
HP16,7,,74,0,0,74,
HP17,6,,0,0,30,30,
HP18,12,,30,0,0,30,
HP19,8,,,,,0,
HP2,18,,52,0,0,52,
HP20,5,,,,,0,
HP21,17,,84,0,0,84,
HP22,13,,120,0,0,120,
HP23,10,,59,0,0,59,
HP3,14,,,,,0,
HP4,15,,75,10,0,85,
HP5,13,,24,0,0,24,
HP6,12,,52,0,0,52,
HP9,10,,72,0,0,72,
HR1,23,,,,,0,
HR2,20,,,,,0,
HR3,3,,,,,0,
HR4,14,,,,,0,
HR5,2,,,,,0,
HR6,14,,,,,0,
HR7,5,,,,,0,
HR8,9,,,,,0,
HR9,13,,,,,0,
HU1,2,,,,,0,
HU11,6,,,,,0,
HU13,4,,,,,0,
HU2,4,,26,0,0,26,
HU20,1,,,,,0,
HU3,12,,98,0,44,142,
HU4,10,,300,20,130,450,
HU5,13,,282,0,12,294,
HU6,16,,39,20,0,59,
HU7,19,,371,0,10,381,
HU8,12,,349,0,75,424,
HU9,18,,108,0,112,220,
IG1,17,,,,,0,
IG10,14,,180,24,35,239,
IG11,20,,,,,0,
IG2,7,,,,,0,
IG3,11,,,,,0,
IG4,4,,,,,0,
IG5,5,,,,,0,
IG6,12,,,,,0,
IG8,17,,,,,0,
IG9,5,,95,6,0,101,
IP10,3,,,,,0,
IP11,11,,24,0,0,24,
IP12,14,,30,0,0,30,
IP13,13,,12,0,0,12,
IP14,22,,21,0,0,21,
IP15,1,,,,,0,
IP16,3,,,,,0,
IP18,3,,,,,0,
IP19,5,,12,0,0,12,
IP20,4,,30,0,0,30,
IP22,14,,29,0,12,41,
IP24,15,,,,,0,
IP26,6,,,,,0,
IP27,5,,84,0,0,84,
IP28,11,,144,0,0,144,
IP29,4,,59,0,0,59,
IP3,11,,,,,0,
IP30,6,,19,0,0,19,
IP31,11,,43,0,0,43,
IP32,10,,53,0,0,53,
IP33,12,,21,0,0,21,
IP4,14,,73,15,0,88,
IP6,7,,,,,0,
IP7,12,,61,0,0,61,
IP8,8,,12,0,0,12,
IP9,10,,49,0,0,49,
KT1,6,,,,,0,
KT12,11,,102,0,0,102,
KT13,7,,113,0,0,113,
KT14,5,,44,0,0,44,
KT15,12,,41,0,0,41,
KT16,11,,38,0,0,38,
KT17,10,,154,0,0,154,
KT19,11,,156,0,0,156,
KT2,19,,,,,0,
KT21,6,,110,0,0,110,
KT22,14,,80,0,0,80,
KT23,5,,107,0,0,107,
KT24,5,,91,0,0,91,
KT3,14,,,,,0,
KT4,8,,21,0,0,21,
KT5,4,,,,,0,
KT6,14,,,,,0,
KT7,6,,106,0,0,106,
KT8,7,,78,0,0,78,
KT9,7,,,,,0,
L1,5,,,,,0,
L10,5,,,,,0,
L11,11,,30,0,0,30,
L12,14,,125,43,0,168,
L13,13,,39,0,0,39,
L14,9,,7,0,0,7,
L15,14,,32,0,0,32,
L16,4,,55,0,0,55,
L17,9,,,,,0,
L18,9,,,,,0,
L19,9,,,,,0,
L20,12,,45,0,0,45,
L21,11,,28,0,0,28,
L22,3,,,,,0,
L23,20,,22,22,0,44,
L24,5,,,,,0,
L25,14,,119,0,0,119,
L27,3,,,,,0,
L28,4,,,,,0,
L3,3,,,,,0,
L30,9,,44,0,0,44,
L31,15,,57,0,0,57,
L32,9,,,,,0,
L33,6,,,,,0,
L34,7,,52,0,0,52,
L35,13,,28,0,0,28,
L36,17,,63,0,0,63,
L37,9,,169,0,0,169,
L39,16,,173,0,0,173,
L4,13,,5,0,0,5,
L40,18,,117,0,0,117,
L5,9,,12,0,0,12,
L7,10,,,,,0,
L8,15,,30,0,0,30,
L9,12,,,,,0,
LA1,23,,222,30,60,312,
LA10,4,,22,0,0,22,
LA11,10,,62,0,0,62,
LA12,12,,97,0,0,97,
LA13,12,,18,0,0,18,
LA14,21,,203,0,0,203,
LA15,5,,9,0,0,9,
LA16,2,,,,,0,
LA17,1,,12,0,0,12,
LA18,7,,18,0,0,18,
LA19,2,,,,,0,
LA2,20,,62,8,0,70,
LA20,1,,25,0,0,25,
LA21,2,,,,,0,
LA22,4,,9,0,0,9,
LA23,5,,77,0,0,77,
LA3,10,,60,0,0,60,
LA4,8,,292,0,0,292,
LA5,11,,170,0,0,170,
LA6,13,,31,0,0,31,
LA7,5,,50,0,0,50,
LA8,8,,36,0,0,36,
LA9,16,,76,0,0,76,
LE1,3,,,,,0,
LE11,27,,48,0,0,48,
LE12,31,,133,0,0,133,
LE13,10,,22,0,0,22,
LE14,14,,,,,0,
LE15,25,,149,17,0,166,
LE16,18,,154,35,0,189,
LE17,13,,36,0,0,36,
LE18,15,,22,0,0,22,
LE19,6,,65,0,0,65,
LE2,39,,158,0,0,158,
LE3,33,,286,0,0,286,
LE4,36,,155,0,0,155,
LE5,42,,79,0,0,79,
LE6,6,,25,0,0,25,
LE65,9,,11,0,0,11,
LE67,30,,7,0,0,7,
LE7,22,,61,0,0,61,
LE8,14,,,,,0,
LE9,26,,21,0,0,21,
LN1,13,,101,0,0,101,
LN10,4,,20,0,0,20,
LN11,18,,,,,0,
LN12,4,,,,,0,
LN13,6,,,,,0,
LN2,19,,154,0,38,192,
LN3,5,,35,0,0,35,
LN4,20,,127,0,0,127,
LN5,17,,97,0,24,121,
LN6,33,,211,0,0,211,
LN7,5,,35,0,0,35,
LN8,10,,40,0,0,40,
LN9,6,,9,0,0,9,
LS10,18,,377,0,103,480,
LS11,16,,26,0,75,101,
LS12,15,,54,0,97,151,
LS13,12,,53,0,0,53,
LS14,14,,103,0,56,159,
LS15,13,,90,0,72,162,
LS16,16,,275,0,74,349,
LS17,22,,405,110,21,536,
LS18,9,,92,0,1,93,
LS19,8,,87,0,0,87,
LS2,1,,60,0,9,69,
LS20,5,,45,0,0,45,
LS21,8,,114,0,5,119,
LS22,7,,56,0,0,56,
LS23,8,,52,0,0,52,
LS25,17,,151,0,30,181,
LS26,11,,122,0,49,171,
LS27,12,,168,0,53,221,
LS28,18,,177,0,138,315,
LS29,13,,30,0,0,30,
LS3,1,,,,,0,
LS4,4,,57,0,13,70,
LS5,2,,,,,0,
LS6,9,,61,0,1,62,
LS7,10,,73,0,72,145,
LS8,12,,36,0,160,196,
LS9,17,,0,0,210,210,
LU1,24,,84,0,0,84,
LU2,19,,75,0,0,75,
LU3,23,,108,0,116,224,
LU4,21,,77,0,0,77,
LU5,22,,84,0,0,84,
LU6,15,,92,0,0,92,
LU7,26,,586,35,90,711,
M11,13,,44,0,0,44,
M12,12,,52,0,0,52,
M13,10,,58,0,0,58,
M14,12,,75,0,0,75,
M15,8,,285,0,0,285,
M16,16,,166,0,55,221,
M18,10,,,,,0,
M19,11,,27,0,0,27,
M2,1,,,,,0,
M20,18,,89,0,0,89,
M21,14,,63,0,0,63,
M23,13,,81,0,30,111,
M24,21,,48,30,0,78,
M26,13,,108,0,0,108,
M27,18,,34,0,0,34,
M28,17,,54,0,118,172,
M29,9,,60,0,0,60,
M3,3,,,,,0,
M30,21,,112,0,0,112,
M31,5,,,,,0,
M32,13,,56,0,0,56,
M33,24,,22,0,0,22,
M34,19,,229,0,0,229,
M35,11,,150,0,64,214,
M40,21,,61,0,0,61,
M41,20,,,,,0,
M43,9,,,,,0,
M44,9,,64,0,0,64,
M45,10,,73,0,45,118,
M46,11,,28,0,0,28,
M5,6,,,,,0,
M50,2,,,,,0,
M6,13,,,,,0,
M7,34,,,,,0,
M8,15,,62,0,186,248,
M9,19,,65,0,37,102,
ME1,18,,31,0,0,31,
ME10,21,,44,0,186,230,
ME11,1,,,,,0,
ME12,11,,,,,0,
ME13,15,,229,0,0,229,
ME14,12,,149,0,88,237,
ME16,17,,15,0,0,15,
ME17,15,,84,0,0,84,
ME18,4,,24,0,0,24,
ME19,13,,,,,0,
ME2,19,,49,0,0,49,
ME20,9,,58,0,0,58,
ME3,12,,36,0,60,96,
ME4,16,,16,0,0,16,
ME5,18,,64,0,0,64,
ME6,4,,50,0,0,50,
ME7,17,,20,0,0,20,
ME8,18,,82,0,0,82,
ME9,16,,166,0,0,166,
MK10,7,,156,0,3,159,
MK11,3,,,,,0,
MK12,7,,,,,0,
MK13,7,,,,,0,
MK15,1,,,,,0,
MK16,8,,60,0,4,64,
MK17,16,,92,25,10,127,
MK18,21,,41,0,0,41,
MK2,7,,24,0,0,24,
MK3,14,,37,0,0,37,
MK4,6,,,,,0,
MK40,13,,115,0,0,115,
MK41,18,,65,0,0,65,
MK42,25,,91,0,0,91,
MK43,20,,61,0,5,66,
MK44,14,,162,0,15,177,
MK45,23,,169,0,35,204,
MK46,3,,,,,0,
MK5,8,,30,0,2,32,
MK7,6,,,,,0,
MK8,8,,39,0,0,39,
MK9,1,,,,,0,
N1,38,,,,,0,
N10,13,,,,,0,
N11,14,,,,,0,
N12,13,,,,,0,
N13,7,,,,,0,
N14,17,,,,,0,
N15,18,,,,,0,
N16,42,,,,,0,
N17,27,,,,,0,
N18,7,,,,,0,
N19,10,,,,,0,
N1C,3,,,,,0,
N2,8,,,,,0,
N20,10,,,,,0,
N21,9,,,,,0,
N22,17,,,,,0,
N3,11,,,,,0,
N4,13,,,,,0,
N5,9,,,,,0,
N6,8,,,,,0,
N7,14,,,,,0,
N8,16,,,,,0,
N9,18,,,,,0,
NE1,1,,,,,0,
NE10,18,,126,0,0,126,
NE11,6,,,,,0,
NE12,16,,124,0,0,124,
NE15,18,,0,0,20,20,
NE16,11,,162,0,0,162,
NE17,1,,,,,0,
NE19,1,,,,,0,
NE20,6,,,,,0,
NE25,17,,134,0,0,134,
NE27,5,,19,0,0,19,
NE28,17,,167,0,0,167,
NE29,13,,129,0,0,129,
NE3,23,,73,0,30,103,
NE30,9,,78,0,0,78,
NE31,10,,101,0,0,101,
NE32,14,,189,0,0,189,
NE33,8,,131,0,0,131,
NE34,19,,284,0,0,284,
NE35,3,,29,0,0,29,
NE36,4,,55,0,0,55,
NE38,16,,23,0,5,28,
NE39,4,,34,0,0,34,
NE40,7,,60,0,0,60,
NE41,1,,,,,0,
NE42,8,,56,0,0,56,
NE43,3,,,,,0,
NE44,1,,,,,0,
NE45,2,,,,,0,
NE46,10,,31,7,0,38,
NE47,8,,,,,0,
NE48,6,,,,,0,
NE49,1,,17,0,0,17,
NE5,17,,6,0,0,6,
NE6,17,,0,0,40,40,
NE61,20,,0,0,101,101,
NE62,5,,82,0,0,82,
NE63,10,,23,0,0,23,
NE65,12,,,,,0,
NE66,11,,,,,0,
NE67,1,,,,,0,
NE68,1,,,,,0,
NE70,1,,,,,0,
NE8,18,,82,0,0,82,
NE9,17,,246,0,0,246,
NG10,19,,219,33,0,252,
NG11,14,,60,0,12,72,
NG12,17,,123,12,0,135,
NG13,12,,132,0,0,132,
NG14,10,,108,0,48,156,
NG15,16,,168,6,24,198,
NG16,33,,420,0,303,723,
NG17,30,,162,0,0,162,
NG18,15,,150,12,120,282,
NG19,27,,279,12,48,339,
NG2,21,,168,0,0,168,
NG20,17,,41,0,84,125,
NG21,10,,102,0,48,150,
NG22,16,,81,36,60,177,
NG24,19,,198,0,0,198,
NG25,4,,60,0,0,60,
NG3,18,,78,0,9,87,
NG31,27,,151,21,0,172,
NG32,9,,48,0,0,48,
NG33,9,,38,0,0,38,
NG34,19,,81,0,0,81,
NG4,19,,216,0,24,240,
NG5,39,,183,0,24,207,
NG6,14,,0,0,30,30,
NG9,26,,240,0,12,252,
NN1,11,,71,0,0,71,
NN10,14,,67,0,0,67,
NN11,19,,146,0,0,146,
NN12,18,,55,0,0,55,
NN13,12,,73,0,0,73,
NN14,23,,176,0,0,176,
NN15,20,,47,0,0,47,
NN16,9,,24,0,0,24,
NN17,13,,22,9,14,45,
NN18,15,,23,0,0,23,
NN2,19,,40,0,0,40,
NN29,6,,73,0,0,73,
NN3,31,,70,0,0,70,
NN4,18,,149,0,0,149,
NN5,14,,66,0,0,66,
NN6,26,,135,0,0,135,
NN7,22,,105,0,0,105,
NN8,23,,75,0,0,75,
NN9,11,,19,0,9,28,
NP16,4,,56,0,0,56,
NP25,1,,4,0,0,4,
NR1,11,,12,6,24,42,
NR10,13,,24,0,0,24,
NR12,17,,28,0,0,28,
NR13,13,,24,0,0,24,
NR14,15,,107,0,0,107,
NR19,11,,96,0,25,121,
NR2,13,,158,36,24,218,
NR20,9,,60,0,0,60,
NR21,10,,,,,0,
NR22,1,,,,,0,
NR23,2,,,,,0,
NR24,1,,0,36,0,36,
NR25,4,,5,0,0,5,
NR26,3,,,,,0,
NR27,8,,,,,0,
NR28,5,,,,,0,
NR29,11,,24,0,36,60,
NR3,10,,,,,0,
NR30,11,,11,0,0,11,
NR31,20,,9,0,0,9,
NR32,17,,9,0,0,9,
NR33,14,,10,0,0,10,
NR34,14,,78,0,0,78,
NR4,11,,121,0,48,169,
NR5,12,,96,0,10,106,
NR6,12,,48,0,30,78,
NR8,9,,72,48,90,210,
NR9,12,,111,14,0,125,
NW1,23,,,,,0,
NW10,32,,,,,0,
NW11,15,,,,,0,
NW2,20,,,,,0,
NW3,38,,,,,0,
NW4,18,,,,,0,
NW5,14,,,,,0,
NW6,28,,,,,0,
NW7,18,,,,,0,
NW8,13,,,,,0,
NW9,23,,,,,0,
OL1,12,,210,0,48,258,
OL10,11,,123,0,0,123,
OL11,17,,44,0,100,144,
OL12,28,,121,0,57,178,
OL13,10,,120,0,0,120,
OL15,5,,40,0,0,40,
OL16,17,,214,0,27,241,
OL2,21,,60,0,92,152,
OL3,9,,97,0,76,173,
OL4,19,,0,0,30,30,
OL5,6,,75,0,0,75,
OL6,19,,102,0,0,102,
OL7,6,,85,0,0,85,
OL8,22,,238,28,178,444,
OL9,22,,383,34,213,630,
OX1,11,,,,,0,
OX10,16,,177,14,0,191,
OX11,18,,233,100,0,333,
OX12,13,,,,,0,
OX13,9,,27,0,0,27,
OX14,25,,7,0,0,7,
OX15,15,,57,0,0,57,
OX16,21,,30,0,0,30,
OX17,11,,100,0,0,100,
OX18,13,,59,32,0,91,
OX2,20,,,,,0,
OX20,4,,41,9,0,50,
OX25,3,,,,,0,
OX26,17,,15,0,0,15,
OX27,4,,10,0,0,10,
OX28,12,,89,6,0,95,
OX29,17,,105,0,0,105,
OX3,22,,114,0,0,114,
OX33,6,,20,0,0,20,
OX39,2,,,,,0,
OX4,26,,192,0,15,207,
OX44,6,,,,,0,
OX49,4,,,,,0,
OX5,12,,123,0,0,123,
OX7,17,,63,0,0,63,
OX9,5,,18,18,0,36,
PE1,22,,22,0,0,22,
PE10,10,,119,36,0,155,
PE11,24,,97,0,7,104,
PE12,21,,74,0,40,114,
PE13,22,,31,0,0,31,
PE14,17,,42,0,0,42,
PE15,9,,139,0,0,139,
PE19,21,,219,0,0,219,
PE2,20,,171,0,0,171,
PE20,5,,,,,0,
PE21,19,,40,0,0,40,
PE22,12,,83,0,0,83,
PE23,8,,,,,0,
PE24,4,,55,0,0,55,
PE25,9,,106,0,0,106,
PE26,6,,90,0,0,90,
PE27,6,,72,0,0,72,
PE28,22,,150,0,0,150,
PE29,14,,75,0,0,75,
PE3,14,,34,0,0,34,
PE31,12,,9,0,0,9,
PE32,12,,81,22,0,103,
PE33,9,,18,0,0,18,
PE34,12,,32,0,0,32,
PE36,3,,,,,0,
PE37,6,,,,,0,
PE38,7,,12,0,0,12,
PE4,10,,29,0,0,29,
PE5,1,,22,0,0,22,
PE6,17,,219,0,0,219,
PE7,18,,74,13,0,87,
PE8,11,,62,0,0,62,
PE9,15,,46,0,0,46,
PL1,14,,258,0,135,393,
PL10,2,,0,0,12,12,
PL11,5,,31,0,18,49,
PL12,10,,186,0,36,222,
PL13,5,,113,0,57,170,
PL14,16,,241,16,145,402,
PL15,17,,178,0,162,340,
PL16,1,,,,,0,
PL17,4,,78,0,12,90,
PL18,3,,24,0,36,60,
PL19,11,,136,0,29,165,
PL2,11,,113,0,109,222,
PL20,7,,18,0,11,29,
PL21,10,,60,0,9,69,
PL22,3,,,,,0,
PL23,3,,,,,0,
PL24,4,,137,0,0,137,
PL25,9,,267,0,0,267,
PL26,12,,127,0,34,161,
PL27,6,,122,0,3,125,
PL28,2,,46,0,20,66,
PL29,1,,11,0,0,11,
PL3,8,,162,0,103,265,
PL30,13,,126,0,68,194,
PL31,7,,36,0,0,36,
PL32,3,,20,0,10,30,
PL33,1,,,,,0,
PL34,1,,9,0,10,19,
PL35,1,,10,0,0,10,
PL4,10,,54,117,77,248,
PL5,22,,374,29,173,576,
PL6,19,,359,0,189,548,
PL7,13,,128,5,202,335,
PL8,4,,59,0,0,59,
PL9,10,,306,0,177,483,
PO10,8,,59,0,0,59,
PO11,5,,36,0,0,36,
PO12,16,,200,0,0,200,
PO13,16,,124,0,0,124,
PO14,19,,140,65,0,205,
PO15,6,,46,0,0,46,
PO16,11,,252,0,0,252,
PO17,3,,27,0,0,27,
PO18,12,,35,0,0,35,
PO19,15,,66,0,0,66,
PO2,16,,69,0,0,69,
PO20,14,,14,0,0,14,
PO21,10,,105,0,0,105,
PO22,7,,90,0,0,90,
PO3,6,,72,0,0,72,
PO30,17,,,,,0,
PO31,5,,,,,0,
PO32,3,,,,,0,
PO33,10,,,,,0,
PO34,1,,,,,0,
PO35,1,,,,,0,
PO36,4,,,,,0,
PO37,2,,,,,0,
PO38,6,,,,,0,
PO39,1,,,,,0,
PO4,12,,102,0,0,102,
PO40,1,,,,,0,
PO41,1,,,,,0,
PO5,8,,40,0,0,40,
PO7,18,,122,0,0,122,
PO8,14,,139,0,0,139,
PO9,20,,39,0,0,39,
PR1,38,,43,0,15,58,
PR2,37,,196,0,30,226,
PR25,18,,29,0,98,127,
PR26,7,,97,0,16,113,
PR3,37,,157,30,54,241,
PR4,40,,186,0,30,216,
PR5,23,,129,0,56,185,
PR6,21,,335,0,140,475,
PR7,34,,434,12,134,580,
PR8,16,,28,0,0,28,
PR9,15,,94,0,0,94,
RG1,19,,0,0,3,3,
RG10,11,,201,24,0,225,
RG12,17,,20,0,0,20,
RG17,8,,91,0,0,91,
RG2,23,,30,0,0,30,
RG20,22,,96,0,0,96,
RG21,15,,174,0,0,174,
RG22,16,,132,0,0,132,
RG24,13,,161,0,0,161,
RG25,4,,33,0,0,33,
RG26,9,,101,0,0,101,
RG27,11,,54,0,0,54,
RG28,2,,,,,0,
RG29,5,,37,0,0,37,
RG30,21,,170,24,30,224,
RG4,21,,179,111,10,300,
RG40,21,,179,9,4,192,
RG41,14,,99,0,0,99,
RG42,13,,29,0,0,29,
RG45,8,,11,0,0,11,
RG5,12,,11,5,0,16,
RG6,8,,101,0,0,101,
RG7,26,,87,12,0,99,
RG8,13,,50,0,0,50,
RG9,13,,17,0,0,17,
RH1,18,,34,0,0,34,
RH10,24,,319,0,0,319,
RH11,18,,96,0,0,96,
RH12,22,,128,0,0,128,
RH13,23,,100,0,0,100,
RH14,6,,,,,0,
RH15,12,,235,0,0,235,
RH16,12,,,,,0,
RH17,18,,56,0,0,56,
RH18,3,,,,,0,
RH19,15,,20,0,0,20,
RH2,15,,,,,0,
RH20,11,,18,0,0,18,
RH4,9,,150,0,0,150,
RH5,10,,,,,0,
RH6,12,,71,0,0,71,
RH8,9,,33,0,0,33,
RH9,2,,20,0,0,20,
RM1,13,,,,,0,
RM10,13,,,,,0,
RM11,11,,,,,0,
RM12,12,,,,,0,
RM13,11,,,,,0,
RM14,13,,,,,0,
RM15,11,,51,0,0,51,
RM16,16,,144,0,43,187,
RM17,8,,92,0,3,95,
RM18,5,,7,0,34,41,
RM2,6,,,,,0,
RM3,14,,,,,0,
RM4,3,,,,,0,
RM5,3,,,,,0,
RM6,13,,,,,0,
RM7,7,,,,,0,
RM8,13,,,,,0,
RM9,14,,,,,0,
S1,1,,,,,0,
S10,15,,206,0,0,206,
S11,10,,128,0,10,138,
S12,10,,,,,0,
S13,10,,94,0,12,106,
S14,2,,,,,0,
S17,6,,30,0,0,30,
S18,14,,354,0,121,475,
S2,18,,48,0,4,52,
S20,11,,71,0,0,71,
S21,11,,3,0,0,3,
S25,10,,56,0,0,56,
S26,14,,,,,0,
S3,6,,,,,0,
S32,5,,19,0,0,19,
S33,7,,0,38,38,76,
S35,19,,147,0,8,155,
S36,13,,160,0,0,160,
S4,6,,,,,0,
S40,14,,373,7,86,466,
S41,18,,246,25,59,330,
S42,10,,150,2,7,159,
S43,21,,93,2,24,119,
S44,12,,115,1,3,119,
S45,6,,102,0,8,110,
S5,19,,,,,0,
S6,16,,44,0,0,44,
S60,18,,26,0,0,26,
S61,15,,,,,0,
S62,12,,20,0,0,20,
S63,18,,0,0,46,46,
S64,13,,,,,0,
S66,18,,,,,0,
S7,9,,40,0,0,40,
S70,15,,22,238,0,260,
S71,17,,65,0,0,65,
S72,10,,22,0,0,22,
S73,10,,88,0,0,88,
S74,8,,21,80,85,186,
S75,18,,75,0,53,128,
S8,14,,95,0,10,105,
S80,13,,235,0,36,271,
S81,14,,222,0,66,288,
S9,13,,60,0,0,60,
SE1,27,,,,,0,
SE10,9,,,,,0,
SE11,14,,,,,0,
SE12,10,,,,,0,
SE13,8,,,,,0,
SE14,10,,,,,0,
SE15,28,,,,,0,
SE16,19,,,,,0,
SE17,12,,,,,0,
SE18,27,,,,,0,
SE19,12,,,,,0,
SE2,8,,,,,0,
SE20,6,,,,,0,
SE21,11,,,,,0,
SE22,11,,,,,0,
SE23,14,,,,,0,
SE24,8,,,,,0,
SE25,13,,,,,0,
SE26,10,,,,,0,
SE27,6,,,,,0,
SE28,11,,,,,0,
SE3,18,,,,,0,
SE4,9,,,,,0,
SE5,18,,,,,0,
SE6,18,,,,,0,
SE7,9,,,,,0,
SE8,12,,,,,0,
SE9,29,,,,,0,
SG10,2,,,,,0,
SG13,10,,34,0,0,34,
SG16,4,,37,0,0,37,
SG17,6,,56,0,0,56,
SG18,12,,39,0,0,39,
SG19,12,,20,0,0,20,
SG2,22,,14,0,0,14,
SG3,3,,,,,0,
SG4,19,,97,0,0,97,
SG5,17,,111,0,0,111,
SG6,17,,37,0,0,37,
SG7,8,,,,,0,
SG8,22,,118,0,0,118,
SK1,5,,,,,0,
SK10,22,,327,46,46,419,
SK11,17,,115,0,0,115,
SK12,9,,110,0,0,110,
SK13,20,,84,0,0,84,
SK14,22,,74,0,0,74,
SK15,14,,144,0,0,144,
SK16,11,,77,0,0,77,
SK17,26,,48,4,89,141,
SK2,11,,29,0,0,29,
SK22,9,,76,0,0,76,
SK23,10,,23,0,29,52,
SK3,15,,33,0,0,33,
SK4,19,,146,0,0,146,
SK5,14,,30,0,0,30,
SK6,21,,118,0,0,118,
SK7,15,,132,0,0,132,
SK8,32,,48,60,0,108,
SK9,16,,262,65,1,328,
SL0,4,,23,0,0,23,
SL1,29,,36,0,0,36,
SL3,21,,,,,0,
SL4,30,,23,0,0,23,
SL5,15,,,,,0,
SL6,42,,268,0,0,268,
SL7,12,,24,0,0,24,
SL8,3,,24,0,0,24,
SL9,10,,96,0,0,96,
SM1,11,,,,,0,
SM3,9,,,,,0,
SM4,12,,,,,0,
SM5,18,,,,,0,
SM6,15,,,,,0,
SM7,8,,38,0,0,38,
SN1,9,,96,0,0,96,
SN10,20,,107,0,0,107,
SN12,11,,43,0,0,43,
SN13,7,,18,0,0,18,
SN14,14,,80,18,0,98,
SN15,17,,73,0,0,73,
SN16,8,,80,0,0,80,
SN2,15,,23,0,0,23,
SN25,18,,141,0,0,141,
SN26,1,,,,,0,
SN3,23,,49,0,0,49,
SN4,12,,12,0,0,12,
SN5,14,,78,0,0,78,
SN6,14,,120,18,0,138,
SN7,9,,,,,0,
SN8,15,,169,0,0,169,
SN9,6,,18,0,0,18,
SO15,14,,,,,0,
SO16,28,,84,0,48,132,
SO17,5,,36,0,0,36,
SO19,19,,36,0,89,125,
SO20,5,,0,0,39,39,
SO21,14,,94,0,0,94,
SO22,11,,190,0,0,190,
SO23,8,,41,0,0,41,
SO24,6,,33,0,0,33,
SO30,9,,96,12,0,108,
SO31,15,,90,0,0,90,
SO32,11,,47,0,0,47,
SO40,19,,143,0,0,143,
SO41,15,,155,0,0,155,
SO42,2,,28,0,0,28,
SO43,4,,,,,0,
SO45,16,,158,0,0,158,
SO50,16,,237,0,0,237,
SO51,15,,292,2,121,415,
SO52,2,,,,,0,
SO53,14,,153,0,0,153,
SP1,19,,46,0,0,46,
SP10,19,,129,0,120,249,
SP11,22,,123,0,30,153,
SP2,13,,53,0,0,53,
SP3,8,,8,0,0,8,
SP4,20,,54,0,0,54,
SP5,14,,61,0,0,61,
SP6,9,,93,0,0,93,
SP7,8,,4,11,0,15,
SP8,7,,,,,0,
SR1,1,,,,,0,
SR2,19,,8,0,2,10,
SR3,17,,15,0,3,18,
SR5,16,,74,0,23,97,
SR8,20,,129,0,0,129,
SS1,6,,186,0,0,186,
SS11,5,,42,0,0,42,
SS12,7,,14,0,0,14,
SS15,9,,24,0,0,24,
SS16,10,,23,27,0,50,
SS17,11,,153,0,0,153,
SS2,13,,0,0,149,149,
SS3,9,,24,0,0,24,
SS4,10,,48,0,0,48,
SS5,5,,24,0,0,24,
SS6,10,,24,0,0,24,
SS7,18,,132,36,18,186,
SS8,12,,42,0,0,42,
SS9,18,,348,0,0,348,
ST1,14,,101,0,120,221,
ST10,19,,374,0,0,374,
ST11,9,,96,55,55,206,
ST12,2,,25,0,0,25,
ST13,17,,17,24,24,65,
ST14,17,,314,48,98,460,
ST15,11,,604,0,98,702,
ST16,10,,29,0,100,129,
ST17,22,,1007,0,76,1083,
ST18,13,,325,0,20,345,
ST19,14,,48,60,60,168,
ST2,15,,209,0,6,215,
ST20,3,,192,0,0,192,
ST21,3,,,,,0,
ST3,27,,318,0,0,318,
ST4,22,,357,269,338,964,
ST5,38,,647,82,86,815,
ST6,26,,364,0,60,424,
ST7,28,,473,0,120,593,
ST8,10,,118,27,34,179,
ST9,8,,131,0,0,131,
SW10,6,,,,,0,
SW11,24,,,,,0,
SW12,16,,,,,0,
SW13,6,,,,,0,
SW14,6,,,,,0,
SW15,26,,,,,0,
SW16,16,,,,,0,
SW17,23,,,,,0,
SW18,18,,,,,0,
SW19,31,,,,,0,
SW1E,1,,,,,0,
SW1H,1,,,,,0,
SW1P,10,,,,,0,
SW1V,7,,,,,0,
SW1W,5,,,,,0,
SW1X,5,,,,,0,
SW2,16,,,,,0,
SW20,14,,,,,0,
SW3,10,,,,,0,
SW4,17,,,,,0,
SW5,5,,,,,0,
SW6,25,,,,,0,
SW7,9,,,,,0,
SW8,9,,,,,0,
SW9,12,,,,,0,
SY1,13,,91,3,0,94,
SY10,7,,30,0,0,30,
SY11,12,,56,0,0,56,
SY12,6,,24,0,0,24,
SY13,10,,,,,0,
SY14,5,,,,,0,
SY15,1,,,,,0,
SY2,8,,41,0,0,41,
SY3,12,,33,24,0,57,
SY4,20,,89,94,0,183,
SY5,13,,44,0,0,44,
SY6,4,,20,0,0,20,
SY7,11,,30,13,0,43,
SY8,9,,21,0,0,21,
TA1,16,,124,0,0,124,
TA10,6,,110,0,0,110,
TA11,5,,36,0,0,36,
TA12,3,,54,0,0,54,
TA13,2,,18,0,0,18,
TA14,3,,30,0,0,30,
TA15,1,,24,0,0,24,
TA16,1,,,,,0,
TA17,1,,,,,0,
TA18,8,,,,,0,
TA19,6,,31,0,0,31,
TA2,18,,69,0,0,69,
TA20,11,,51,0,0,51,
TA21,13,,88,0,0,88,
